Frequency (Hz),Level (dBm)
50.00,-88.76
50.01,-88.56
50.02,-89.21
50.03,-86.04
50.04,-99.16
50.05,-91.97
50.06,-95.46
50.07,-87.25
50.08,-89.19
50.09,-89.71
50.10,-88.60
50.11,-91.91
50.12,-90.53
50.13,-90.57
50.14,-89.80
50.15,-94.30
50.16,-85.75
50.17,-92.66
50.18,-93.87
50.19,-90.76
50.20,-89.58
50.21,-89.42
50.22,-93.83
50.23,-90.21
50.24,-94.18
50.25,-92.30
50.26,-89.78
50.27,-95.79
50.28,-89.64
50.29,-90.79
50.30,-86.61
50.31,-94.55
50.32,-91.17
50.33,-93.96
50.34,-89.05
50.35,-93.23
50.36,-96.22
50.37,-98.79
50.38,-88.24
50.39,-88.76
50.40,-87.66
50.41,-93.25
50.42,-95.96
50.43,-89.07
50.44,-97.16
50.45,-85.48
50.46,-93.86
50.47,-90.16
50.48,-93.76
50.49,-89.98
50.50,-92.21
50.51,-92.18
50.52,-89.36
50.53,-93.85
50.54,-88.22
50.55,-91.66
50.56,-88.07
50.57,-92.88
50.58,-91.34
50.59,-92.54
50.60,-89.41
50.61,-90.67
50.62,-93.60
50.63,-87.38
50.64,-85.67
50.65,-84.03
50.66,-84.85
50.67,-82.43
50.68,-82.16
50.69,-89.33
50.70,-87.54
50.71,-84.42
50.72,-87.98
50.73,-87.62
50.74,-88.81
50.75,-89.49
50.76,-89.54
50.77,-86.72
50.78,-89.34
50.79,-87.66
50.80,-98.25
50.81,-94.83
50.82,-93.21
50.83,-93.14
50.84,-92.74
50.85,-87.51
50.86,-100.88
50.87,-90.36
50.88,-92.25
50.89,-97.75
50.90,-95.10
50.91,-93.24
50.92,-92.27
50.93,-86.57
50.94,-93.33
50.95,-92.93
50.96,-90.10
50.97,-92.26
50.98,-87.98
50.99,-92.48
51.00,-94.09
51.01,-88.52
51.02,-92.81
51.03,-93.94
51.04,-91.34
51.05,-94.52
51.06,-95.60
51.07,-92.00
51.08,-94.79
51.09,-97.22
51.10,-89.43
51.11,-92.95
51.12,-87.18
51.13,-94.04
51.14,-93.41
51.15,-93.17
51.16,-91.34
51.17,-90.78
51.18,-102.46
51.19,-93.59
51.20,-90.99
51.21,-93.63
51.22,-88.77
51.23,-91.10
51.24,-91.00
51.25,-89.89
51.26,-84.70
51.27,-87.03
51.28,-89.92
51.29,-87.28
51.30,-88.21
51.31,-86.68
51.32,-100.43
51.33,-87.31
51.34,-90.39
51.35,-95.91
51.36,-89.27
51.37,-89.42
51.38,-90.93
51.39,-92.11
51.40,-97.70
51.41,-92.32
51.42,-93.30
51.43,-95.15
51.44,-92.92
51.45,-92.53
51.46,-100.60
51.47,-88.95
51.48,-91.81
51.49,-92.39
51.50,-88.47
51.51,-93.79
51.52,-91.28
51.53,-90.37
51.54,-92.56
51.55,-93.40
51.56,-94.49
51.57,-94.61
51.58,-90.52
51.59,-91.14
51.60,-92.40
51.61,-98.07
51.62,-91.30
51.63,-90.82
51.64,-92.03
51.65,-102.19
51.66,-99.70
51.67,-91.40
51.68,-93.49
51.69,-91.37
51.70,-90.26
51.71,-97.47
51.72,-94.50
51.73,-87.30
51.74,-90.68
51.75,-94.09
51.76,-96.52
51.77,-90.38
51.78,-93.00
51.79,-96.51
51.80,-90.82
51.81,-93.04
51.82,-94.50
51.83,-90.78
51.84,-92.24
51.85,-88.03
51.86,-91.49
51.87,-97.40
51.88,-93.52
51.89,-91.61
51.90,-96.41
51.91,-95.25
51.92,-91.96
51.93,-92.00
51.94,-92.76
51.95,-98.80
51.96,-100.95
51.97,-89.40
51.98,-99.64
51.99,-93.38
52.00,-96.07
52.01,-93.30
52.02,-95.54
52.03,-91.63
52.04,-93.32
52.05,-95.47
52.06,-95.65
52.07,-91.04
52.08,-90.65
52.09,-89.42
52.10,-92.68
52.11,-98.33
52.12,-93.60
52.13,-88.69
52.14,-94.40
52.15,-89.78
52.16,-93.81
52.17,-92.66
52.18,-90.33
52.19,-84.74
52.20,-86.31
52.21,-92.94
52.22,-87.87
52.23,-94.26
52.24,-96.08
52.25,-89.58
52.26,-84.82
52.27,-86.11
52.28,-94.45
52.29,-86.67
52.30,-87.55
52.31,-89.37
52.32,-89.61
52.33,-92.39
52.34,-92.98
52.35,-95.09
52.36,-91.76
52.37,-91.17
52.38,-94.25
52.39,-91.88
52.40,-88.32
52.41,-94.60
52.42,-93.27
52.43,-92.53
52.44,-90.11
52.45,-92.92
52.46,-94.13
52.47,-95.39
52.48,-93.03
52.49,-99.53
52.50,-90.66
52.51,-94.35
52.52,-93.44
52.53,-94.13
52.54,-92.45
52.55,-97.55
52.56,-88.14
52.57,-93.91
52.58,-91.00
52.59,-87.42
52.60,-94.60
52.61,-84.91
52.62,-87.06
52.63,-88.72
52.64,-93.23
52.65,-90.31
52.66,-91.52
52.67,-86.72
52.68,-93.72
52.69,-84.87
52.70,-91.01
52.71,-83.66
52.72,-87.70
52.73,-87.83
52.74,-84.43
52.75,-91.94
52.76,-88.83
52.77,-85.01
52.78,-84.97
52.79,-87.48
52.80,-88.31
52.81,-84.62
52.82,-90.90
52.83,-84.77
52.84,-93.55
52.85,-86.73
52.86,-88.81
52.87,-88.85
52.88,-91.66
52.89,-87.27
52.90,-86.21
52.91,-91.43
52.92,-86.53
52.93,-89.84
52.94,-87.18
52.95,-90.98
52.96,-93.49
52.97,-95.95
52.98,-95.79
52.99,-87.45
53.00,-85.75
53.01,-86.26
53.02,-89.02
53.03,-89.22
53.04,-89.88
53.05,-86.28
53.06,-96.69
53.07,-96.97
53.08,-94.36
53.09,-89.05
53.10,-92.34
53.11,-92.85
53.12,-91.85
53.13,-88.12
53.14,-92.11
53.15,-89.14
53.16,-85.88
53.17,-90.53
53.18,-92.18
53.19,-94.77
53.20,-89.58
53.21,-98.15
53.22,-94.21
53.23,-94.16
53.24,-91.00
53.25,-95.03
53.26,-89.04
53.27,-94.95
53.28,-100.53
53.29,-87.50
53.30,-97.20
53.31,-88.67
53.32,-87.54
53.33,-92.94
53.34,-92.39
53.35,-86.49
53.36,-89.89
53.37,-87.82
53.38,-89.79
53.39,-84.97
53.40,-90.60
53.41,-91.88
53.42,-90.62
53.43,-88.13
53.44,-95.32
53.45,-97.46
53.46,-88.53
53.47,-90.39
53.48,-91.40
53.49,-91.17
53.50,-92.08
53.51,-96.76
53.52,-96.16
53.53,-87.88
53.54,-95.71
53.55,-90.13
53.56,-91.51
53.57,-95.34
53.58,-93.37
53.59,-94.80
53.60,-98.26
53.61,-92.78
53.62,-95.38
53.63,-95.42
53.64,-90.94
53.65,-92.91
53.66,-97.95
53.67,-91.24
53.68,-90.29
53.69,-93.62
53.70,-87.68
53.71,-84.91
53.72,-86.20
53.73,-83.74
53.74,-82.25
53.75,-84.15
53.76,-79.59
53.77,-78.28
53.78,-80.98
53.79,-80.28
53.80,-82.68
53.81,-85.08
53.82,-83.73
53.83,-90.61
53.84,-87.64
53.85,-86.57
53.86,-89.75
53.87,-87.99
53.88,-88.55
53.89,-92.45
53.90,-86.66
53.91,-101.37
53.92,-90.15
53.93,-90.18
53.94,-92.57
53.95,-91.22
53.96,-92.02
53.97,-94.64
53.98,-92.29
53.99,-89.15
54.00,-90.09
54.01,-86.61
54.02,-92.99
54.03,-92.95
54.04,-96.51
54.05,-89.42
54.06,-94.42
54.07,-90.87
54.08,-88.17
54.09,-88.45
54.10,-90.37
54.11,-86.05
54.12,-87.75
54.13,-95.42
54.14,-89.59
54.15,-86.89
54.16,-88.76
54.17,-88.99
54.18,-88.57
54.19,-88.72
54.20,-87.60
54.21,-92.68
54.22,-90.43
54.23,-92.30
54.24,-87.34
54.25,-91.14
54.26,-88.69
54.27,-93.75
54.28,-96.62
54.29,-100.12
54.30,-92.59
54.31,-93.65
54.32,-94.45
54.33,-91.87
54.34,-98.56
54.35,-90.84
54.36,-98.91
54.37,-98.81
54.38,-90.54
54.39,-96.04
54.40,-88.76
54.41,-90.70
54.42,-91.72
54.43,-90.75
54.44,-92.04
54.45,-90.26
54.46,-91.50
54.47,-90.59
54.48,-91.94
54.49,-96.86
54.50,-91.87
54.51,-92.69
54.52,-93.98
54.53,-99.71
54.54,-95.16
54.55,-97.24
54.56,-92.49
54.57,-94.27
54.58,-99.48
54.59,-96.60
54.60,-97.46
54.60,-94.45
54.61,-93.64
54.62,-93.59
54.63,-97.99
54.64,-90.29
54.65,-92.22
54.66,-98.73
54.67,-92.13
54.68,-97.52
54.69,-92.69
54.70,-94.01
54.71,-94.40
54.72,-99.72
54.73,-92.89
54.74,-95.55
54.75,-94.61
54.76,-97.74
54.77,-97.08
54.78,-98.20
54.79,-101.24
54.80,-91.97
54.81,-100.96
54.82,-99.28
54.83,-96.78
54.84,-94.85
54.85,-95.52
54.86,-92.12
54.87,-94.58
54.88,-91.63
54.89,-93.66
54.90,-90.75
54.91,-92.63
54.92,-87.29
54.93,-94.98
54.94,-89.12
54.95,-91.66
54.96,-95.79
54.97,-92.92
54.98,-94.33
54.99,-96.03
55.00,-100.88
55.01,-89.53
55.02,-96.84
55.03,-94.04
55.04,-97.76
55.05,-93.72
55.06,-93.82
55.07,-99.94
55.08,-98.25
55.09,-95.22
55.10,-91.64
55.11,-101.26
55.12,-91.94
55.13,-90.92
55.14,-102.61
55.15,-95.62
55.16,-99.41
55.17,-101.03
55.18,-91.06
55.19,-100.88
55.20,-96.65
55.21,-93.97
55.22,-94.72
55.23,-90.93
55.24,-91.29
55.25,-92.93
55.26,-94.07
55.27,-89.95
55.28,-84.00
55.29,-87.47
55.30,-86.83
55.31,-85.14
55.32,-88.64
55.33,-86.89
55.34,-86.72
55.35,-89.06
55.36,-93.41
55.37,-91.81
55.38,-91.45
55.39,-91.69
55.40,-94.46
55.41,-91.20
55.42,-93.51
55.43,-96.70
55.44,-96.55
55.45,-100.34
55.46,-102.58
55.47,-92.42
55.48,-94.26
55.49,-91.59
55.50,-92.21
55.51,-91.63
55.52,-95.86
55.53,-91.60
55.54,-96.57
55.55,-95.26
55.56,-91.75
55.57,-96.45
55.58,-93.71
55.59,-97.85
55.60,-93.40
55.61,-95.73
55.62,-98.74
55.63,-95.24
55.64,-93.77
55.65,-95.55
55.66,-96.90
55.67,-100.66
55.68,-100.03
55.69,-94.81
55.70,-92.76
55.71,-94.91
55.72,-91.88
55.73,-95.45
55.74,-92.30
55.75,-90.59
55.76,-97.69
55.77,-97.82
55.78,-97.74
55.79,-94.86
55.80,-96.53
55.81,-95.02
55.82,-92.83
55.83,-96.21
55.84,-93.40
55.85,-93.51
55.86,-92.86
55.87,-96.63
55.88,-96.62
55.89,-97.02
55.90,-100.46
55.91,-94.64
55.92,-93.78
55.93,-93.67
55.94,-95.38
55.95,-96.16
55.96,-96.41
55.97,-95.42
55.98,-93.46
55.99,-93.59
56.00,-90.00
56.01,-96.99
56.02,-95.88
56.03,-91.45
56.04,-92.08
56.05,-92.22
56.06,-98.64
56.07,-95.26
56.08,-98.10
56.09,-92.59
56.10,-96.40
56.11,-91.41
56.12,-91.97
56.13,-98.84
56.14,-96.59
56.15,-101.80
56.16,-91.93
56.17,-95.54
56.18,-92.75
56.19,-98.01
56.20,-92.11
56.21,-93.47
56.22,-94.57
56.23,-98.19
56.24,-98.40
56.25,-96.71
56.26,-98.73
56.27,-95.24
56.28,-95.58
56.29,-100.33
56.30,-90.88
56.31,-95.02
56.32,-96.24
56.33,-90.78
56.34,-97.04
56.35,-92.01
56.36,-92.15
56.37,-91.14
56.38,-91.20
56.39,-96.01
56.40,-92.00
56.41,-93.50
56.42,-96.76
56.43,-106.43
56.44,-98.39
56.45,-97.72
56.46,-98.26
56.47,-95.54
56.48,-97.24
56.49,-89.93
56.50,-97.68
56.51,-95.11
56.52,-95.82
56.53,-96.79
56.54,-89.50
56.55,-93.64
56.56,-91.61
56.57,-98.04
56.58,-95.69
56.59,-98.71
56.60,-95.09
56.61,-91.77
56.62,-91.59
56.63,-92.16
56.64,-99.56
56.65,-96.22
56.66,-92.12
56.67,-95.91
56.68,-98.18
56.69,-93.05
56.70,-96.80
56.71,-91.73
56.72,-89.00
56.73,-94.32
56.74,-89.42
56.75,-87.54
56.76,-86.92
56.77,-88.26
56.78,-83.40
56.79,-85.74
56.80,-82.13
56.81,-82.54
56.82,-82.33
56.83,-82.04
56.84,-82.50
56.85,-84.55
56.86,-86.01
56.87,-85.95
56.88,-83.67
56.89,-85.22
56.90,-91.20
56.91,-94.08
56.92,-91.00
56.93,-93.49
56.94,-93.83
56.95,-90.64
56.96,-95.83
56.97,-92.93
56.98,-101.88
56.99,-98.56
57.00,-89.39
57.01,-90.48
57.02,-91.26
57.03,-96.67
57.04,-97.57
57.05,-96.42
57.06,-99.73
57.07,-95.10
57.08,-96.78
57.09,-97.36
57.10,-98.27
57.11,-88.61
57.12,-92.93
57.13,-100.21
57.14,-102.16
57.15,-93.71
57.16,-98.81
57.17,-91.54
57.18,-97.75
57.19,-97.18
57.20,-87.85
57.21,-96.53
57.22,-105.43
57.23,-93.74
57.24,-96.84
57.25,-97.02
57.26,-93.20
57.27,-103.92
57.28,-93.47
57.29,-93.43
57.30,-90.38
57.31,-86.59
57.32,-95.86
57.33,-95.81
57.34,-93.80
57.35,-94.16
57.36,-93.58
57.37,-92.63
57.38,-95.21
57.39,-94.11
57.40,-95.08
57.41,-97.76
57.42,-91.18
57.43,-93.97
57.44,-92.34
57.45,-97.95
57.46,-100.14
57.47,-94.25
57.48,-95.79
57.49,-91.58
57.50,-95.17
57.51,-100.23
57.52,-96.75
57.53,-95.23
57.54,-97.52
57.55,-93.36
57.56,-93.78
57.57,-95.79
57.58,-94.77
57.59,-90.97
57.60,-89.93
57.61,-91.60
57.62,-92.53
57.63,-96.45
57.64,-89.83
57.65,-95.82
57.66,-95.44
57.67,-93.21
57.68,-97.29
57.69,-91.00
57.70,-96.75
57.71,-93.66
57.72,-97.39
57.73,-90.97
57.74,-97.06
57.75,-93.15
57.76,-95.79
57.77,-97.61
57.78,-94.52
57.79,-94.12
57.80,-93.20
57.81,-97.16
57.82,-93.44
57.83,-91.87
57.84,-92.05
57.85,-98.14
57.86,-90.76
57.87,-89.65
57.88,-94.84
57.89,-97.87
57.90,-100.41
57.91,-93.61
57.92,-95.39
57.93,-98.71
57.94,-92.31
57.95,-92.63
57.96,-96.26
57.97,-90.06
57.98,-90.11
57.99,-90.32
58.00,-95.62
58.01,-98.55
58.02,-98.99
58.03,-96.41
58.04,-96.03
58.05,-90.22
58.06,-96.48
58.07,-93.84
58.08,-91.23
58.09,-90.19
58.10,-95.94
58.11,-93.20
58.12,-94.83
58.13,-92.66
58.14,-88.76
58.15,-96.59
58.16,-88.82
58.17,-89.97
58.18,-92.26
58.19,-94.02
58.20,-96.22
58.21,-93.93
58.22,-93.23
58.23,-89.09
58.24,-91.89
58.25,-101.47
58.26,-97.36
58.27,-88.46
58.28,-88.18
58.29,-89.57
58.30,-87.13
58.31,-86.20
58.32,-84.51
58.33,-84.06
58.34,-81.66
58.35,-81.22
58.36,-80.33
58.37,-81.08
58.38,-81.86
58.39,-84.41
58.40,-82.98
58.41,-81.86
58.42,-82.40
58.43,-87.05
58.44,-88.57
58.45,-93.54
58.46,-89.69
58.47,-88.16
58.48,-89.92
58.49,-90.36
58.50,-93.10
58.51,-93.02
58.52,-89.79
58.53,-99.21
58.54,-91.57
58.55,-97.88
58.56,-95.51
58.57,-88.21
58.58,-92.82
58.59,-88.13
58.60,-91.95
58.61,-92.51
58.62,-91.27
58.63,-92.89
58.64,-89.35
58.65,-91.52
58.66,-93.00
58.67,-90.48
58.68,-90.49
58.69,-94.66
58.70,-91.61
58.71,-96.34
58.72,-91.85
58.73,-96.58
58.74,-97.21
58.75,-95.58
58.76,-93.38
58.77,-93.34
58.78,-97.72
58.79,-92.67
58.80,-100.36
58.81,-97.57
58.82,-94.58
58.83,-93.19
58.84,-88.59
58.85,-96.50
58.86,-90.97
58.87,-89.35
58.88,-89.51
58.89,-88.84
58.90,-90.86
58.91,-90.91
58.92,-91.09
58.93,-99.34
58.94,-96.08
58.95,-92.59
58.96,-94.37
58.97,-89.40
58.98,-91.39
58.99,-89.43
59.00,-94.56
59.01,-91.19
59.02,-93.24
59.03,-96.35
59.04,-93.55
59.05,-98.39
59.06,-90.33
59.07,-93.81
59.08,-90.16
59.09,-96.64
59.10,-102.75
59.11,-88.94
59.12,-100.28
59.13,-95.24
59.14,-88.77
59.15,-94.33
59.16,-90.65
59.17,-91.97
59.18,-91.09
59.19,-96.69
59.20,-88.77
59.20,-91.82
59.21,-93.23
59.22,-91.22
59.23,-86.67
59.24,-93.31
59.25,-93.36
59.26,-89.30
59.27,-94.34
59.28,-90.83
59.29,-95.69
59.30,-88.75
59.31,-95.78
59.32,-94.94
59.33,-87.05
59.34,-88.97
59.35,-85.52
59.36,-94.70
59.37,-97.38
59.38,-97.59
59.39,-97.63
59.40,-91.66
59.41,-96.77
59.42,-90.68
59.43,-94.25
59.44,-87.32
59.45,-89.96
59.46,-89.58
59.47,-93.01
59.48,-97.77
59.49,-94.28
59.50,-89.97
59.51,-89.49
59.52,-90.73
59.53,-99.96
59.54,-91.68
59.55,-91.54
59.56,-92.85
59.57,-90.85
59.58,-91.39
59.59,-89.16
59.60,-95.41
59.61,-95.20
59.62,-88.35
59.63,-88.49
59.64,-92.17
59.65,-101.52
59.66,-88.97
59.67,-90.75
59.68,-87.56
59.69,-86.17
59.70,-87.50
59.71,-96.23
59.72,-95.49
59.73,-94.58
59.74,-91.76
59.75,-89.86
59.76,-91.19
59.77,-84.57
59.78,-90.53
59.79,-85.55
59.80,-90.79
59.81,-91.04
59.82,-83.59
59.83,-86.25
59.84,-83.12
59.85,-85.48
59.86,-87.52
59.87,-83.65
59.88,-81.71
