Frequency_MHz,Power_dBm
400.000,-72.639
400.217,-73.310
400.435,-69.520
400.652,-83.956
400.870,-65.278
401.087,-74.266
401.304,-82.770
401.522,-80.708
401.739,-84.840
401.957,-80.953
402.174,-85.004
402.391,-83.083
402.609,-80.224
402.826,-80.567
403.043,-84.500
403.261,-83.386
403.478,-85.270
403.696,-79.756
403.913,-84.281
404.130,-84.104
404.348,-85.290
404.565,-86.189
404.783,-88.647
405.000,-88.149
405.217,-86.758
405.435,-88.689
405.652,-75.960
405.870,-89.806
406.087,-88.896
406.304,-91.963
406.522,-87.973
406.739,-87.860
406.957,-85.548
407.174,-86.927
407.391,-85.402
407.609,-87.460
407.826,-85.905
408.043,-87.520
408.261,-86.578
408.478,-85.509
408.696,-85.702
408.913,-88.359
409.130,-82.296
409.348,-87.431
409.565,-86.773
409.783,-85.169
410.000,-87.224
410.217,-86.869
410.435,-88.147
410.652,-78.592
410.870,-86.926
411.087,-84.601
411.304,-76.640
411.522,-85.733
411.739,-80.887
411.957,-85.411
412.174,-86.015
412.391,-88.784
412.609,-84.296
412.826,-87.370
413.043,-85.628
413.261,-84.442
413.478,-84.153
413.696,-86.751
413.913,-91.685
414.130,-89.332
414.348,-88.745
414.565,-88.160
414.783,-86.165
415.000,-89.177
415.217,-89.783
415.435,-82.985
415.652,-75.867
415.870,-91.414
416.087,-92.806
416.304,-88.240
416.522,-90.563
416.739,-89.323
416.957,-82.863
417.174,-88.045
417.391,-86.999
417.609,-88.595
417.826,-88.193
418.043,-92.103
418.261,-92.870
418.478,-87.842
418.696,-92.948
418.913,-90.125
419.130,-91.821
419.348,-89.675
419.565,-94.776
419.783,-90.474
420.000,-92.539
420.217,-87.063
420.435,-91.848
420.652,-89.622
420.870,-89.199
421.087,-88.885
421.304,-77.640
421.522,-85.834
421.739,-90.186
421.957,-89.364
422.174,-88.204
422.391,-88.638
422.609,-82.227
422.826,-93.789
423.043,-81.578
423.261,-92.951
423.478,-89.755
423.696,-93.592
423.913,-89.580
424.130,-89.845
424.348,-91.045
424.565,-91.144
424.783,-92.970
425.000,-91.997
425.217,-90.633
425.435,-87.365
425.652,-88.937
425.870,-88.566
426.087,-89.792
426.304,-91.265
426.522,-91.437
426.739,-86.306
426.957,-90.411
427.174,-93.412
427.391,-87.366
427.609,-91.331
427.826,-92.121
428.043,-92.326
428.261,-87.740
428.478,-93.049
428.696,-80.208
428.913,-88.152
429.130,-91.263
429.348,-93.326
429.565,-92.206
429.783,-92.306
430.000,-90.133
430.217,-89.055
430.435,-91.008
430.652,-90.142
430.870,-91.460
431.087,-78.162
431.304,-83.074
431.522,-84.800
431.739,-91.767
431.957,-90.545
432.174,-91.237
432.391,-93.170
432.609,-91.646
432.826,-91.696
433.043,-94.518
433.261,-94.459
433.478,-93.018
433.696,-95.130
433.913,-93.017
434.130,-90.264
434.348,-80.505
434.565,-91.707
434.783,-89.711
435.000,-93.393
435.217,-94.177
435.435,-94.075
435.652,-89.573
435.870,-92.437
436.087,-90.962
436.304,-91.112
436.522,-90.394
436.739,-86.133
436.957,-90.241
437.174,-85.165
437.391,-91.536
437.609,-94.500
437.826,-93.522
438.043,-90.535
438.261,-92.799
438.478,-90.798
438.696,-91.553
438.913,-92.718
439.130,-93.241
439.348,-92.698
439.565,-92.528
439.783,-87.468
440.000,-76.082
440.217,-89.078
440.435,-87.356
440.652,-90.248
440.870,-91.881
441.087,-88.535
441.304,-88.933
441.522,-88.641
441.739,-84.778
441.957,-89.652
442.174,-87.197
442.391,-89.461
442.609,-88.005
442.826,-83.783
443.043,-88.449
443.261,-87.722
443.478,-90.426
443.696,-89.600
443.913,-90.635
444.130,-85.373
444.348,-85.684
444.565,-83.586
444.783,-84.960
445.000,-81.320
445.217,-76.100
445.435,-67.014
445.652,-72.922
445.870,-79.870
446.087,-80.104
446.304,-84.636
446.522,-86.765
446.739,-88.802
446.957,-88.987
447.174,-89.109
447.391,-89.152
447.609,-89.014
447.826,-88.156
448.043,-88.409
448.261,-87.352
448.478,-85.400
448.696,-88.528
448.913,-87.552
449.130,-89.788
449.348,-86.235
449.565,-89.996
449.783,-85.487
450.000,-86.294
450.217,-89.145
450.435,-89.733
450.652,-92.295
450.870,-89.786
451.087,-89.519
451.304,-83.581
451.522,-95.170
451.739,-90.417
451.957,-93.399
452.174,-94.572
452.391,-92.896
452.609,-94.887
452.826,-91.535
453.043,-91.193
453.261,-93.062
453.478,-89.671
453.696,-88.274
453.913,-90.837
454.130,-88.847
454.348,-89.729
454.565,-91.736
454.783,-90.860
455.000,-91.554
455.217,-90.292
455.435,-88.738
455.652,-88.749
455.870,-92.178
456.087,-92.033
456.304,-93.549
456.522,-90.469
456.739,-90.558
456.957,-89.362
457.174,-94.544
457.391,-89.327
457.609,-94.999
457.826,-91.131
458.043,-92.824
458.261,-91.077
458.478,-89.204
458.696,-91.121
458.913,-93.146
459.130,-92.225
459.348,-91.678
459.565,-92.019
459.783,-93.302
460.000,-93.035
460.217,-89.933
460.435,-91.649
460.652,-91.786
460.870,-96.544
461.087,-91.144
461.304,-90.210
461.522,-82.988
461.739,-79.894
461.957,-80.107
462.174,-93.171
462.391,-86.033
462.609,-88.231
462.826,-93.699
463.043,-90.534
463.261,-90.483
463.478,-91.041
463.696,-93.415
463.913,-92.210
464.130,-92.203
464.348,-92.527
464.565,-92.057
464.783,-93.167
465.000,-93.650
465.217,-91.698
465.435,-92.747
465.652,-95.005
465.870,-94.395
466.087,-94.429
466.304,-95.955
466.522,-93.245
466.739,-94.264
466.957,-85.433
467.174,-89.407
467.391,-92.985
467.609,-92.335
467.826,-96.142
468.043,-93.746
468.261,-94.575
468.478,-95.146
468.696,-93.561
468.913,-96.651
469.130,-96.046
469.348,-94.711
469.565,-97.459
469.783,-95.694
470.000,-96.785
470.217,-96.440
470.435,-95.621
470.652,-95.441
470.870,-97.268
471.087,-96.752
471.304,-93.126
471.522,-94.766
471.739,-96.305
471.957,-94.430
472.174,-94.498
472.391,-94.016
472.609,-92.740
472.826,-97.775
473.043,-99.084
473.261,-98.327
473.478,-98.634
473.696,-95.491
473.913,-93.045
474.130,-96.687
474.348,-91.587
474.565,-98.406
474.783,-100.755
475.000,-97.541
475.217,-98.732
475.435,-102.247
475.652,-95.857
475.870,-94.784
476.087,-97.911
476.304,-94.114
476.522,-101.606
476.739,-100.605
476.957,-97.840
477.174,-95.211
477.391,-95.621
477.609,-96.991
477.826,-97.556
478.043,-97.687
478.261,-97.457
478.478,-97.342
478.696,-98.255
478.913,-96.027
479.130,-94.316
479.348,-94.295
479.565,-97.244
479.783,-96.180
480.000,-82.356
480.217,-97.206
480.435,-98.278
480.652,-100.144
480.870,-100.052
481.087,-99.541
481.304,-100.249
481.522,-93.811
481.739,-94.663
481.957,-95.168
482.174,-94.715
482.391,-96.495
482.609,-95.874
482.826,-91.328
483.043,-92.924
483.261,-93.422
483.478,-97.465
483.696,-97.906
483.913,-97.156
484.130,-93.624
484.348,-99.121
484.565,-96.267
484.783,-101.214
485.000,-98.763
485.217,-96.666
485.435,-89.804
485.652,-85.262
485.870,-90.576
486.087,-92.441
486.304,-95.874
486.522,-96.848
486.739,-98.695
486.957,-96.659
487.174,-94.576
487.391,-96.591
487.609,-97.118
487.826,-98.322
488.043,-95.545
488.261,-94.280
488.478,-92.804
488.696,-94.339
488.913,-93.054
489.130,-95.999
489.348,-96.565
489.565,-96.177
489.783,-96.685
490.000,-89.469
490.217,-88.066
490.435,-92.553
490.652,-92.027
490.870,-93.722
491.087,-93.097
491.304,-83.872
491.522,-93.663
491.739,-91.814
491.957,-96.448
492.174,-94.443
492.391,-92.282
492.609,-93.003
492.826,-92.713
493.043,-93.489
493.261,-94.073
493.478,-95.885
493.696,-91.022
493.913,-91.575
494.130,-86.639
494.348,-90.748
494.565,-91.805
494.783,-91.201
495.000,-94.612
495.217,-95.080
495.435,-91.145
495.652,-92.729
495.870,-95.257
496.087,-93.426
496.304,-93.656
496.522,-95.158
496.739,-91.858
496.957,-87.593
497.174,-93.251
497.391,-86.913
497.609,-94.410
497.826,-92.896
498.043,-91.555
498.261,-92.028
498.478,-95.226
498.696,-93.948
498.913,-95.728
499.130,-97.651
499.348,-94.113
499.565,-91.505
499.783,-93.628
500.000,-90.066
