Frequency_MHz,Power_dBm
400.000,-72.663
400.217,-79.585
400.435,-85.962
400.652,-91.111
400.870,-89.154
401.087,-87.134
401.304,-82.397
401.522,-81.641
401.739,-85.356
401.957,-83.675
402.174,-83.455
402.391,-83.459
402.609,-83.569
402.826,-75.603
403.043,-83.526
403.261,-85.446
403.478,-83.511
403.696,-86.675
403.913,-82.709
404.130,-80.955
404.348,-88.349
404.565,-86.497
404.783,-89.498
405.000,-89.024
405.217,-91.515
405.435,-85.456
405.652,-76.019
405.870,-85.591
406.087,-86.854
406.304,-86.747
406.522,-89.026
406.739,-86.799
406.957,-83.488
407.174,-84.675
407.391,-89.773
407.609,-83.841
407.826,-87.924
408.043,-84.620
408.261,-85.065
408.478,-81.855
408.696,-88.305
408.913,-88.868
409.130,-88.638
409.348,-90.050
409.565,-89.413
409.783,-82.908
410.000,-88.242
410.217,-87.170
410.435,-80.619
410.652,-71.368
410.870,-83.531
411.087,-88.532
411.304,-79.174
411.522,-89.548
411.739,-86.577
411.957,-84.939
412.174,-88.492
412.391,-88.286
412.609,-88.472
412.826,-87.826
413.043,-90.162
413.261,-81.969
413.478,-87.734
413.696,-87.430
413.913,-87.666
414.130,-88.747
414.348,-92.119
414.565,-89.189
414.783,-87.905
415.000,-90.355
415.217,-92.836
415.435,-89.230
415.652,-85.422
415.870,-91.678
416.087,-88.680
416.304,-89.836
416.522,-90.851
416.739,-90.498
416.957,-85.847
417.174,-91.659
417.391,-85.726
417.609,-92.164
417.826,-89.122
418.043,-90.603
418.261,-94.186
418.478,-88.345
418.696,-92.346
418.913,-94.033
419.130,-94.249
419.348,-94.962
419.565,-92.103
419.783,-89.009
420.000,-88.000
420.217,-90.732
420.435,-95.046
420.652,-89.542
420.870,-88.765
421.087,-89.623
421.304,-77.066
421.522,-87.927
421.739,-90.752
421.957,-92.046
422.174,-89.214
422.391,-86.415
422.609,-82.906
422.826,-92.259
423.043,-80.252
423.261,-91.089
423.478,-87.433
423.696,-89.074
423.913,-90.360
424.130,-89.857
424.348,-91.718
424.565,-90.290
424.783,-93.806
425.000,-91.460
425.217,-92.252
425.435,-89.870
425.652,-90.346
425.870,-89.363
426.087,-90.483
426.304,-91.328
426.522,-92.409
426.739,-91.658
426.957,-91.581
427.174,-91.481
427.391,-93.983
427.609,-94.488
427.826,-90.976
428.043,-93.097
428.261,-87.098
428.478,-90.580
428.696,-79.100
428.913,-86.811
429.130,-91.321
429.348,-92.375
429.565,-88.972
429.783,-92.781
430.000,-94.109
430.217,-92.065
430.435,-90.869
430.652,-93.616
430.870,-91.562
431.087,-81.873
431.304,-84.537
431.522,-86.734
431.739,-88.387
431.957,-90.777
432.174,-94.850
432.391,-94.295
432.609,-93.102
432.826,-93.573
433.043,-92.398
433.261,-93.165
433.478,-92.550
433.696,-94.956
433.913,-93.354
434.130,-92.037
434.348,-80.883
434.565,-90.538
434.783,-95.322
435.000,-95.323
435.217,-90.595
435.435,-92.074
435.652,-91.530
435.870,-91.835
436.087,-90.198
436.304,-92.441
436.522,-91.657
436.739,-90.242
436.957,-88.244
437.174,-85.863
437.391,-87.680
437.609,-87.261
437.826,-91.913
438.043,-92.109
438.261,-92.796
438.478,-89.797
438.696,-89.828
438.913,-91.916
439.130,-94.667
439.348,-96.125
439.565,-93.044
439.783,-87.806
440.000,-79.803
440.217,-87.755
440.435,-89.463
440.652,-87.237
440.870,-93.821
441.087,-90.949
441.304,-88.679
441.522,-85.716
441.739,-94.840
441.957,-90.744
442.174,-91.679
442.391,-87.263
442.609,-86.804
442.826,-87.508
443.043,-87.798
443.261,-87.262
443.478,-87.156
443.696,-87.463
443.913,-86.572
444.130,-80.723
444.348,-82.854
444.565,-82.515
444.783,-84.924
445.000,-82.249
445.217,-79.510
445.435,-65.421
445.652,-75.833
445.870,-79.305
446.087,-82.298
446.304,-84.003
446.522,-87.574
446.739,-88.418
446.957,-87.337
447.174,-88.324
447.391,-88.008
447.609,-88.078
447.826,-87.906
448.043,-89.917
448.261,-88.144
448.478,-84.854
448.696,-85.494
448.913,-88.834
449.130,-90.181
449.348,-93.162
449.565,-92.353
449.783,-89.678
450.000,-88.733
450.217,-92.125
450.435,-89.940
450.652,-95.437
450.870,-89.995
451.087,-90.372
451.304,-81.519
451.522,-91.431
451.739,-89.663
451.957,-88.925
452.174,-93.363
452.391,-85.946
452.609,-88.343
452.826,-87.584
453.043,-92.111
453.261,-85.523
453.478,-90.383
453.696,-89.520
453.913,-89.909
454.130,-91.051
454.348,-86.922
454.565,-88.362
454.783,-87.913
455.000,-92.602
455.217,-92.144
455.435,-92.068
455.652,-88.437
455.870,-89.810
456.087,-94.887
456.304,-91.496
456.522,-90.998
456.739,-89.912
456.957,-85.843
457.174,-94.219
457.391,-90.013
457.609,-92.849
457.826,-91.613
458.043,-92.057
458.261,-87.049
458.478,-90.447
458.696,-91.919
458.913,-89.006
459.130,-87.447
459.348,-89.148
459.565,-91.162
459.783,-88.786
460.000,-89.766
460.217,-91.652
460.435,-91.072
460.652,-88.916
460.870,-92.869
461.087,-91.894
461.304,-91.258
461.522,-86.130
461.739,-85.717
461.957,-82.559
462.174,-85.563
462.391,-88.257
462.609,-88.414
462.826,-90.432
463.043,-88.269
463.261,-94.793
463.478,-93.682
463.696,-93.609
463.913,-94.370
464.130,-91.702
464.348,-92.396
464.565,-96.727
464.783,-95.017
465.000,-94.188
465.217,-94.939
465.435,-96.501
465.652,-90.263
465.870,-91.534
466.087,-93.008
466.304,-94.821
466.522,-92.423
466.739,-92.213
466.957,-87.352
467.174,-94.948
467.391,-91.631
467.609,-91.766
467.826,-93.153
468.043,-94.966
468.261,-94.368
468.478,-92.904
468.696,-97.906
468.913,-98.636
469.130,-93.132
469.348,-92.078
469.565,-94.603
469.783,-94.590
470.000,-93.859
470.217,-93.673
470.435,-93.743
470.652,-96.925
470.870,-97.142
471.087,-95.676
471.304,-95.373
471.522,-93.818
471.739,-95.348
471.957,-94.692
472.174,-94.664
472.391,-91.719
472.609,-96.359
472.826,-94.714
473.043,-95.620
473.261,-97.894
473.478,-97.170
473.696,-96.997
473.913,-95.947
474.130,-100.087
474.348,-92.126
474.565,-99.594
474.783,-100.127
475.000,-98.326
475.217,-96.782
475.435,-97.166
475.652,-101.040
475.870,-96.128
476.087,-99.295
476.304,-97.512
476.522,-96.909
476.739,-98.769
