Frequency_MHz,Power_dBm
400.000,-73.977
400.217,-78.388
400.435,-77.324
400.652,-81.387
400.870,-83.769
401.087,-85.425
401.304,-81.979
401.522,-80.634
401.739,-85.877
401.957,-85.332
402.174,-87.563
402.391,-81.042
402.609,-80.727
402.826,-81.489
403.043,-83.437
403.261,-87.387
403.478,-85.673
403.696,-87.016
403.913,-85.920
404.130,-83.109
404.348,-84.788
404.565,-87.470
404.783,-87.106
405.000,-92.688
405.217,-93.201
405.435,-82.151
405.652,-76.891
405.870,-88.385
406.087,-88.555
406.304,-87.148
406.522,-88.870
406.739,-89.062
406.957,-87.744
407.174,-85.546
407.391,-87.800
407.609,-83.019
407.826,-87.800
408.043,-84.784
408.261,-84.448
408.478,-82.987
408.696,-84.313
408.913,-82.154
409.130,-86.111
409.348,-86.797
409.565,-89.804
409.783,-84.190
410.000,-87.816
410.217,-89.219
410.435,-77.067
410.652,-62.388
410.870,-79.697
411.087,-75.967
411.304,-80.340
411.522,-84.303
411.739,-84.627
411.957,-86.206
412.174,-88.631
412.391,-84.932
412.609,-85.125
412.826,-85.881
413.043,-90.914
413.261,-88.528
413.478,-83.804
413.696,-86.298
413.913,-87.611
414.130,-86.403
414.348,-89.278
414.565,-89.255
414.783,-90.489
415.000,-91.063
415.217,-87.982
415.435,-85.698
415.652,-90.950
415.870,-88.658
416.087,-91.183
416.304,-89.038
416.522,-87.823
416.739,-90.405
416.957,-81.653
417.174,-90.152
417.391,-85.578
417.609,-91.549
417.826,-81.740
418.043,-86.217
418.261,-91.412
418.478,-93.585
418.696,-91.666
418.913,-91.084
419.130,-91.588
419.348,-91.591
419.565,-90.869
419.783,-91.165
420.000,-90.075
420.217,-93.703
420.435,-90.585
420.652,-91.183
420.870,-91.112
421.087,-92.093
421.304,-77.550
421.522,-86.455
421.739,-89.998
421.957,-91.888
422.174,-90.626
422.391,-91.067
422.609,-82.381
422.826,-90.738
423.043,-82.507
423.261,-92.394
423.478,-86.224
423.696,-89.750
423.913,-89.455
424.130,-93.394
424.348,-90.194
424.565,-89.533
424.783,-90.736
425.000,-91.160
425.217,-90.545
425.435,-89.406
425.652,-93.207
425.870,-87.101
426.087,-88.396
426.304,-88.388
426.522,-90.069
426.739,-91.404
426.957,-89.089
427.174,-91.734
427.391,-91.159
427.609,-93.056
427.826,-91.750
428.043,-91.392
428.261,-87.506
428.478,-89.156
428.696,-78.853
428.913,-86.016
429.130,-88.975
429.348,-92.097
429.565,-94.111
429.783,-89.213
430.000,-88.731
430.217,-90.229
430.435,-93.350
430.652,-89.481
430.870,-88.236
431.087,-88.888
431.304,-90.005
431.522,-88.463
431.739,-91.943
431.957,-87.691
432.174,-89.556
432.391,-92.909
432.609,-93.410
432.826,-91.866
433.043,-92.434
433.261,-92.317
433.478,-95.377
433.696,-92.302
433.913,-87.302
434.130,-89.969
434.348,-78.868
434.565,-90.153
434.783,-90.523
435.000,-93.313
435.217,-94.332
435.435,-93.218
435.652,-91.886
435.870,-88.189
436.087,-92.877
436.304,-88.797
436.522,-88.780
436.739,-89.535
436.957,-88.736
437.174,-85.541
437.391,-91.806
437.609,-88.984
437.826,-89.928
438.043,-89.222
438.261,-92.657
438.478,-88.878
438.696,-89.952
438.913,-89.166
439.130,-89.277
439.348,-93.028
439.565,-95.513
439.783,-87.511
440.000,-75.698
440.217,-86.544
440.435,-89.837
440.652,-93.931
440.870,-89.188
441.087,-91.184
441.304,-87.774
441.522,-88.153
441.739,-90.452
441.957,-92.418
442.174,-94.672
442.391,-89.492
442.609,-90.395
442.826,-90.155
443.043,-92.053
443.261,-83.650
443.478,-88.667
443.696,-88.890
443.913,-87.044
444.130,-83.505
444.348,-84.195
444.565,-81.241
444.783,-81.058
445.000,-80.400
445.217,-82.730
445.435,-62.491
445.652,-74.453
445.870,-78.045
446.087,-79.494
446.304,-84.053
446.522,-89.027
446.739,-89.077
446.957,-88.295
447.174,-90.226
447.391,-92.168
447.609,-91.108
447.826,-86.976
448.043,-86.722
448.261,-89.544
448.478,-84.911
448.696,-86.826
448.913,-87.664
449.130,-87.569
449.348,-91.685
449.565,-91.337
449.783,-87.548
450.000,-89.130
450.217,-88.484
450.435,-88.405
450.652,-93.063
450.870,-89.531
451.087,-89.370
451.304,-84.104
451.522,-92.286
451.739,-92.298
451.957,-91.742
452.174,-93.301
452.391,-91.369
452.609,-89.707
452.826,-89.965
453.043,-88.858
453.261,-90.279
453.478,-87.431
453.696,-94.112
453.913,-87.993
454.130,-88.220
454.348,-90.369
454.565,-87.825
454.783,-90.704
455.000,-91.195
455.217,-90.867
455.435,-88.808
455.652,-92.089
455.870,-94.310
456.087,-92.810
456.304,-91.653
456.522,-93.851
456.739,-93.047
456.957,-86.387
457.174,-93.803
457.391,-92.984
457.609,-90.058
457.826,-91.248
458.043,-95.000
458.261,-92.151
458.478,-91.168
458.696,-91.099
458.913,-91.010
459.130,-95.404
459.348,-92.141
459.565,-93.182
459.783,-88.678
460.000,-88.826
460.217,-92.737
460.435,-87.681
460.652,-89.538
460.870,-92.105
461.087,-94.091
461.304,-88.861
461.522,-87.671
461.739,-85.723
461.957,-79.238
462.174,-83.000
462.391,-84.906
462.609,-89.889
462.826,-95.643
463.043,-92.712
463.261,-94.133
463.478,-94.451
463.696,-95.912
463.913,-91.279
464.130,-90.274
464.348,-96.913
464.565,-93.267
464.783,-93.041
465.000,-95.199
465.217,-92.093
465.435,-92.092
465.652,-91.759
465.870,-93.410
466.087,-92.564
466.304,-94.722
466.522,-96.568
466.739,-92.864
466.957,-85.197
467.174,-92.063
467.391,-87.874
467.609,-95.416
467.826,-91.951
468.043,-96.409
468.261,-96.060
468.478,-94.082
468.696,-95.855
468.913,-95.095
469.130,-97.004
469.348,-89.047
469.565,-98.521
469.783,-92.617
470.000,-96.372
470.217,-94.442
470.435,-96.150
470.652,-96.428
470.870,-97.503
471.087,-97.154
471.304,-92.507
471.522,-94.171
471.739,-94.185
471.957,-94.463
472.174,-96.491
472.391,-91.819
472.609,-94.363
472.826,-94.165
473.043,-94.338
473.261,-99.702
473.478,-97.079
473.696,-94.114
473.913,-93.172
474.130,-94.403
474.348,-89.428
474.565,-96.654
474.783,-96.160
475.000,-95.634
475.217,-97.532
475.435,-96.585
475.652,-97.741
475.870,-95.527
476.087,-95.927
476.304,-97.786
476.522,-97.185
476.739,-99.371
476.957,-96.572
477.174,-95.275
477.391,-100.085
477.609,-90.044
477.826,-100.584
478.043,-97.930
478.261,-96.423
478.478,-94.757
478.696,-98.102
478.913,-97.320
479.130,-90.630
479.348,-93.477
479.565,-96.749
479.783,-92.714
480.000,-78.816
480.217,-94.016
480.435,-95.985
480.652,-97.068
480.870,-98.733
481.087,-98.767
481.304,-95.866
481.522,-96.198
481.739,-96.582
481.957,-96.194
482.174,-95.554
482.391,-97.094
482.609,-95.939
482.826,-91.175
483.043,-96.368
483.261,-95.602
483.478,-100.124
483.696,-98.194
483.913,-97.485
484.130,-93.617
484.348,-95.362
484.565,-98.415
484.783,-96.130
485.000,-99.041
485.217,-96.678
485.435,-91.862
485.652,-84.707
485.870,-92.560
486.087,-91.900
486.304,-96.868
486.522,-97.316
486.739,-92.915
486.957,-95.092
487.174,-92.162
487.391,-94.262
487.609,-96.283
487.826,-97.285
488.043,-96.989
488.261,-92.641
488.478,-92.225
488.696,-93.145
488.913,-93.327
489.130,-94.556
489.348,-95.418
489.565,-92.639
489.783,-91.810
490.000,-86.300
490.217,-92.130
490.435,-94.678
490.652,-95.556
490.870,-90.714
491.087,-89.547
491.304,-81.432
491.522,-92.299
491.739,-92.245
491.957,-97.708
492.174,-95.924
492.391,-93.889
492.609,-97.801
492.826,-88.850
493.043,-91.808
493.261,-94.558
493.478,-94.979
493.696,-93.284
493.913,-90.530
494.130,-91.819
494.348,-94.178
494.565,-90.344
494.783,-90.611
495.000,-89.417
495.217,-91.413
495.435,-93.884
495.652,-95.346
495.870,-95.672
496.087,-93.286
496.304,-94.751
496.522,-94.423
496.739,-91.638
496.957,-85.292
497.174,-95.456
497.391,-86.828
497.609,-91.891
497.826,-89.163
498.043,-91.646
498.261,-94.335
498.478,-95.712
498.696,-98.391
498.913,-97.588
499.130,-95.690
499.348,-94.688
499.565,-92.350
499.783,-93.843
500.000,-89.958
