Frequency_MHz,Power_dBm
88.293,-90.614
88.401,-92.072
88.510,-87.813
88.618,-92.541
88.727,-92.714
88.835,-92.443
88.944,-93.322
89.052,-84.575
89.161,-93.979
89.269,-92.245
89.378,-92.090
89.486,-94.177
89.595,-94.290
89.703,-95.673
89.812,-92.254
89.920,-93.943
90.028,-92.749
90.137,-95.692
90.245,-95.924
90.354,-94.456
90.462,-95.854
90.571,-89.075
90.679,-89.137
90.788,-96.246
90.896,-95.266
91.005,-95.884
91.113,-84.930
91.222,-94.322
91.330,-84.831
91.439,-95.442
91.547,-93.898
91.656,-97.575
91.764,-91.821
91.873,-96.919
91.981,-98.373
92.090,-95.005
92.198,-84.030
92.307,-95.967
92.415,-96.199
92.523,-95.917
92.632,-96.608
92.740,-92.281
92.849,-94.595
92.957,-92.822
93.066,-95.127
93.174,-94.728
93.283,-95.618
93.391,-95.353
93.500,-95.297
93.608,-92.873
93.717,-93.118
93.825,-93.919
93.934,-96.769
94.042,-87.677
94.151,-84.772
94.259,-96.803
94.368,-94.922
94.476,-95.966
94.585,-91.910
94.693,-97.192
94.802,-86.778
94.910,-78.381
95.018,-94.935
95.127,-95.997
95.235,-89.859
95.344,-96.106
95.452,-96.116
95.561,-96.239
95.669,-95.554
95.778,-88.139
95.886,-81.749
95.995,-79.598
96.103,-91.819
96.212,-98.041
96.320,-95.450
96.429,-96.722
96.537,-95.573
96.646,-95.954
96.754,-95.354
96.863,-93.990
96.971,-87.500
97.080,-98.123
97.188,-88.464
97.297,-84.277
97.405,-84.556
97.513,-97.303
97.622,-95.797
97.730,-98.430
97.839,-98.354
97.947,-95.452
98.056,-84.325
98.164,-82.281
98.273,-87.224
98.381,-94.047
98.490,-92.426
98.598,-98.507
98.707,-97.213
98.815,-98.160
98.924,-95.530
99.032,-85.742
99.141,-83.590
99.249,-97.678
99.358,-96.040
99.466,-87.860
99.575,-88.805
99.683,-93.320
99.792,-80.037
99.900,-78.005
99.900,-79.698
100.008,-82.436
100.117,-95.143
100.225,-93.732
100.334,-98.957
100.442,-98.929
100.551,-94.873
100.659,-86.846
100.768,-87.884
100.876,-98.672
100.985,-98.840
101.093,-97.276
101.202,-97.184
101.310,-99.444
101.419,-91.693
101.527,-95.091
101.636,-96.697
101.744,-98.875
101.853,-96.199
101.961,-95.270
102.070,-82.120
102.178,-83.857
102.287,-99.876
102.395,-98.302
102.503,-96.913
102.612,-93.272
102.720,-96.579
102.829,-96.121
102.937,-95.586
103.046,-92.620
103.154,-97.161
103.263,-91.592
103.371,-90.883
103.480,-97.473
103.588,-95.163
103.697,-97.827
103.805,-99.285
103.914,-96.096
104.022,-93.285
104.131,-91.301
104.239,-94.712
104.348,-93.828
104.456,-87.078
104.565,-90.001
104.673,-92.767
104.782,-93.415
104.890,-92.626
104.998,-92.387
105.107,-91.223
105.215,-91.480
105.324,-90.326
105.432,-90.996
105.541,-90.409
105.649,-85.924
105.758,-89.820
105.866,-89.006
105.975,-87.230
106.083,-90.395
106.192,-87.120
106.300,-90.071
106.409,-90.633
106.517,-90.354
106.626,-89.590
