Frequency (Hz),Level (dBm)
50.00,-94.70
50.01,-88.58
50.02,-92.16
50.03,-92.17
50.04,-89.39
50.05,-89.80
50.06,-95.43
50.07,-92.03
50.08,-85.48
50.09,-93.48
50.10,-98.52
50.11,-89.65
50.12,-89.52
50.13,-87.68
50.14,-93.10
50.15,-96.20
50.16,-91.72
50.17,-101.18
50.18,-87.22
50.19,-93.02
50.20,-92.50
50.21,-89.98
50.22,-93.93
50.23,-93.51
50.24,-90.79
50.25,-95.52
50.26,-91.27
50.27,-95.90
50.28,-89.66
50.29,-92.72
50.30,-94.65
50.31,-94.96
50.32,-89.27
50.33,-93.86
50.34,-86.46
50.35,-94.55
50.36,-97.85
50.37,-88.84
50.38,-87.89
50.39,-89.85
50.40,-87.64
50.41,-89.04
50.42,-93.95
50.43,-95.48
50.44,-89.99
50.45,-94.37
50.46,-94.66
50.47,-90.38
50.48,-92.56
50.49,-94.53
50.50,-87.48
50.51,-96.90
50.52,-98.10
50.53,-91.13
50.54,-89.89
50.55,-95.18
50.56,-91.03
50.57,-91.46
50.58,-88.94
50.59,-92.76
50.60,-90.84
50.61,-89.53
50.62,-84.50
50.63,-89.83
50.64,-84.38
50.65,-88.93
50.66,-83.61
50.67,-88.80
50.68,-81.63
50.69,-84.45
50.70,-80.36
50.71,-88.96
50.72,-86.67
50.73,-86.91
50.74,-92.94
50.75,-90.02
50.76,-88.43
50.77,-89.13
50.78,-87.92
50.79,-91.49
50.80,-91.26
50.81,-93.48
50.82,-86.22
50.83,-91.78
50.84,-91.37
50.85,-94.55
50.86,-95.01
50.87,-92.09
50.88,-88.06
50.89,-85.46
50.90,-92.52
50.91,-91.47
50.92,-93.22
50.93,-93.45
50.94,-93.20
50.95,-94.25
50.96,-88.15
50.97,-91.70
50.98,-92.28
50.99,-92.26
51.00,-97.79
51.01,-96.30
51.02,-93.17
51.03,-93.15
51.04,-88.76
51.05,-88.99
51.06,-94.61
51.07,-90.61
51.08,-89.53
51.09,-95.35
51.10,-89.63
51.11,-91.63
51.12,-99.50
51.13,-92.88
51.14,-92.20
51.15,-91.47
51.16,-87.22
51.17,-90.48
51.18,-92.43
51.19,-90.89
51.20,-89.74
51.21,-86.27
51.22,-96.35
51.23,-88.81
51.24,-88.86
51.25,-97.87
51.26,-87.86
51.27,-82.53
51.28,-87.67
51.29,-88.62
51.30,-88.80
51.31,-90.11
51.32,-87.87
51.33,-85.51
51.34,-87.41
51.35,-89.81
51.36,-87.14
51.37,-92.14
51.38,-89.22
51.39,-90.25
51.40,-90.81
51.41,-88.91
51.42,-90.37
51.43,-89.78
51.44,-93.67
51.45,-94.86
51.46,-91.84
51.47,-97.74
51.48,-92.24
51.49,-90.56
51.50,-93.71
51.51,-87.79
51.52,-89.25
51.53,-93.72
51.54,-91.34
51.55,-95.04
51.56,-93.46
51.57,-97.54
51.58,-89.60
51.59,-91.18
51.60,-93.59
51.61,-95.31
51.62,-92.01
51.63,-95.12
51.64,-95.10
51.65,-92.65
51.66,-92.35
51.67,-88.14
51.68,-92.73
51.69,-92.22
51.70,-96.33
51.71,-98.22
51.72,-91.51
51.73,-91.49
51.74,-89.52
51.75,-91.72
51.76,-94.53
51.77,-96.97
51.78,-94.48
51.79,-91.02
51.80,-89.84
51.81,-94.62
51.82,-92.98
51.83,-95.69
