Zone_1,Zone_2,Type,Order,Distance,Frequency_MHz,Severity,Device_1,Device_2,Parent_Freq1,Parent_Freq2
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,235.125,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Sennheiser EM3732-II L - NAME GOES HERE,488.825,615.675
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,235.125,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Sennheiser EM3732-II L - NAME GOES HERE,488.825,615.675
Zone 1,Zone 2,Cross-Zone,3f1-2f2,37.34,235.155,Medium,Senn EM3732 A - ACR2 RF 19,Lectro Standard Block 23 - CP24 Mic 7,471.385,589.5
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,235.175,Medium,Shure UHF-R H4 - NAME GOES HERE,Shure PSM-1000 L8 - ',522.375,665.975
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,235.175,Medium,Shure UHF-R H4 - NAME GOES HERE,Shure PSM-1000 L8 - ',522.375,665.975
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,235.54,Medium,Shure PSM-1000 L8 - NAME GOES HERE,Senn EM3732 A - ACR4 RF 10,661.675,519.63
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,235.575,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - NAME GOES HERE,523.425,667.35
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,235.575,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - NAME GOES HERE,523.425,667.35
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,235.645,Medium,Lectro Standard Block 23 - IFB 17 CP24 Patio,Senn EM3732 A - ACR2 RF 21,601.0,479.215
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,235.8,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure ULXD4 J50 - ',489.3,616.05
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,235.8,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure ULXD4 J50 - ',489.3,616.05
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,235.825,Medium,Sennheiser EM9046 A2 - NAME GOES HERE,Senn Evol G2 B - ',516.375,656.65
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,235.825,Medium,Sennheiser EM9046 A2 - NAME GOES HERE,Senn Evol G2 B - ',516.375,656.65
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,235.9,Medium,Shure PSM-1000 G10 - ',Shure UHF-R K4E - NAME GOES HERE,490.9,618.4
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,235.9,Medium,Shure PSM-1000 G10 - ',Shure UHF-R K4E - NAME GOES HERE,490.9,618.4
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,235.925,Medium,Shure UHF-R H4 - NAME GOES HERE,Shure PSM-1000 L8 - ',522.375,665.6
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,235.925,Medium,Shure UHF-R H4 - NAME GOES HERE,Shure PSM-1000 L8 - ',522.375,665.6
Parking Lot   East and West Stage,Zone 3,Cross-Zone,3f1-2f2,86.31,235.95,Medium,Shure UHF-R G1 - ',Generic Generic - Brett Harman #5,528.65,675.0
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,236.0,Medium,Shure PSM-1000 L8 - ',Senn EM3732 A - ACR4 RF 11,662.375,520.25
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,236.05,Medium,Shure UHF-R G1 - NAME GOES HERE,Senn Evol G2 B - ',517.05,657.55
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,236.05,Medium,Shure UHF-R G1 - NAME GOES HERE,Senn Evol G2 B - ',517.05,657.55
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,236.09,Medium,Shure PSM-1000 L8 - NAME GOES HERE,Senn EM3732 A - ACR4 RF 12,662.825,520.58
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f2-2f1,12.04,236.13,Medium,Generic - 662-698,Lectro Standard Block 21 - CP24 Mic 1,695.085,542.1
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,236.225,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure UHF-R K4E - NAME GOES HERE,488.825,615.125
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,236.225,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure UHF-R K4E - NAME GOES HERE,488.825,615.125
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,236.28,Medium,Sennheiser EM3732-II L - ',Senn EM3732 A - ACR2 RF 25,621.825,493.31
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,236.325,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectro Standard Block 23 - CP24 IFB 14,475.375,594.9
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,236.325,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectro Standard Block 23 - CP24 IFB 14,475.375,594.9
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f1-2f2,12.04,236.4,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectro Standard Block 23 - CP24 Mic 7,471.8,589.5
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,236.5,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - NAME GOES HERE,519.95,661.675
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,236.5,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - NAME GOES HERE,519.95,661.675
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,236.55,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Sennheiser EM3732-II L - NAME GOES HERE,489.3,615.675
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,236.55,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Sennheiser EM3732-II L - NAME GOES HERE,489.3,615.675
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f2-2f1,12.04,236.72,Medium,Generic - 662-698,Lectro Standard Block 21 - CP24 Mic 2,695.69,542.7
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,236.775,Medium,Sennheiser EM9046 A2 - NAME GOES HERE,Senn Evol G2 B - ',516.375,656.175
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,236.775,Medium,Sennheiser EM9046 A2 - NAME GOES HERE,Senn Evol G2 B - ',516.375,656.175
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f2-2f1,12.04,236.87,Medium,Generic - 662-698,Lectro Standard Block 21 - CP24 Mic 1,694.715,542.1
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,236.9,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - ',522.95,665.975
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,236.9,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - ',522.95,665.975
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f1-2f2,47.8,236.95,Medium,Shure UHF-R G1 - NAME GOES HERE,Lectro Standard Block 25 - Master IFM 4,517.05,657.1
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,236.99,Medium,Shure PSM-1000 L8 - ',Senn EM3732 A - ACR4 RF 12,662.375,520.58
Parking Lot   East and West Stage,Zone 3,Cross-Zone,3f1-2f2,86.31,237.0,Medium,Shure UHF-R H4 - ',Generic Generic - Brett Harman #5,529.0,675.0
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,237.125,Medium,Shure UHF-R H4 - NAME GOES HERE,Shure PSM-1000 L8 - NAME GOES HERE,522.375,665.0
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,237.125,Medium,Shure UHF-R H4 - NAME GOES HERE,Shure PSM-1000 L8 - NAME GOES HERE,522.375,665.0
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f1-2f2,47.8,237.275,Medium,Shure UHF-R H4 - ',Lectro Standard Block 25 - Master IFM 1,521.625,663.8
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,237.4,Medium,Shure PSM-1000 L8 - NAME GOES HERE,Senn EM3732 A - ACR4 RF 11,661.675,520.25
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,237.44,Medium,Shure UHF-R K4E - NAME GOES HERE,Senn EM3732 A - ACR4 RF 5,616.55,490.18
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,237.65,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - ',522.95,665.6
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,237.65,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure UHF-R K4E - NAME GOES HERE,489.3,615.125
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,237.65,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - ',522.95,665.6
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,237.65,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure UHF-R K4E - NAME GOES HERE,489.3,615.125
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,237.85,Medium,Shure UHF-R G1 - NAME GOES HERE,Senn Evol G2 B - ',517.05,656.65
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,237.85,Medium,Shure UHF-R G1 - NAME GOES HERE,Senn Evol G2 B - ',517.05,656.65
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,237.855,Medium,Shure PSM-1000 L8 - ',Senn EM3732 A - ACR4 RF 9,658.05,517.985
Parking Lot   East and West Stage,Zone 6,Cross-Zone,3f2-2f1,50.16,237.92,Medium,Generic - 662-698,Lectro Standard Block 21 - Donovan McNiven #1,695.69,543.1
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f2-2f1,12.04,237.93,Medium,Generic - 662-698,Lectro Standard Block 21 - CP24 Mic 2,695.085,542.7
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,237.945,Medium,Shure UHF-R H4 - ',Generic - 662-698,521.625,663.465
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,237.945,Medium,Shure UHF-R H4 - ',Generic - 662-698,521.625,663.465
Zone 1,Zone 2,Cross-Zone,3f1-2f2,37.34,238.095,Medium,Senn EM3732 A - ACR4 RF 2,Lectro Standard Block 23 - CP24 Mic 7,472.365,589.5
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,238.295,Medium,Shure PSM-1000 J8 - ',Senn EM3732 A - ACR2 RF 21,599.675,479.215
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,238.325,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - ',523.425,665.975
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,238.325,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - ',523.425,665.975
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f2-2f1,12.04,238.35,Medium,Lectro Standard Block 23 - CP24 IFB 14,Generic Generic - CP24 Intercom Tx,594.9,476.05
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,238.39,Medium,Shure PSM-1000 L8 - NAME GOES HERE,Senn EM3732 A - ACR4 RF 12,661.675,520.58
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,238.425,Medium,Shure UHF-R G1 - NAME GOES HERE,Shure ULXD4 J50 - ',492.775,619.95
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,238.425,Medium,Shure UHF-R G1 - NAME GOES HERE,Shure ULXD4 J50 - ',492.775,619.95
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,238.44,Medium,Shure ULXD4 J50 - ',Senn EM3732 A - ACR4 RF 5,616.05,490.18
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,238.505,Medium,Shure UHF-R K4E - NAME GOES HERE,Senn EM3732 A - ACR4 RF 6,616.55,490.535
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f2-2f1,12.04,238.67,Medium,Generic - 662-698,Lectro Standard Block 21 - CP24 Mic 2,694.715,542.7
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,238.8,Medium,Shure UHF-R G1 - NAME GOES HERE,Senn Evol G2 B - ',517.05,656.175
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,238.8,Medium,Shure UHF-R G1 - NAME GOES HERE,Senn Evol G2 B - ',517.05,656.175
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,238.85,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - NAME GOES HERE,522.95,665.0
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,238.85,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - NAME GOES HERE,522.95,665.0
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,238.855,Medium,Senn Evol G2 B - ',Senn EM3732 A - ACR4 RF 9,657.55,517.985
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,238.925,Medium,Shure UHF-R K4E - NAME GOES HERE,Senn EM3732 A - ACR4 RF 7,623.6,495.375
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,239.075,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - ',523.425,665.6
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,239.075,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - ',523.425,665.6
Parking Lot   East and West Stage,Zone 6,Cross-Zone,3f2-2f1,50.16,239.13,Medium,Generic - 662-698,Lectro Standard Block 21 - Donovan McNiven #1,695.085,543.1
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,239.19,Medium,Sennheiser EM3732-II L - NAME GOES HERE,Senn EM3732 A - ACR4 RF 5,615.675,490.18
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,239.225,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - NAME GOES HERE,521.625,662.825
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,239.225,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - NAME GOES HERE,521.625,662.825
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,239.4,Medium,Shure UHF-R G1 - NAME GOES HERE,Shure PSM-1000 L8 - NAME GOES HERE,524.7,667.35
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f1-2f2,47.8,239.4,Medium,Shure UHF-R G1 - NAME GOES HERE,Lectro Standard Block 25 - Master IFM 3,512.6,649.2
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,239.4,Medium,Shure UHF-R G1 - NAME GOES HERE,Shure PSM-1000 L8 - NAME GOES HERE,524.7,667.35
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f1-2f2,12.04,239.475,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectro Standard Block 23 - CP24 Mic 7,472.825,589.5
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,239.505,Medium,Shure ULXD4 J50 - ',Senn EM3732 A - ACR4 RF 6,616.05,490.535
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f1-2f2,47.8,239.525,Medium,Shure UHF-R H4 - NAME GOES HERE,Lectro Standard Block 25 - Master IFM 1,522.375,663.8
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,239.6,Medium,Shure PSM-1000 G10 - ',Shure UHF-R K4E - NAME GOES HERE,490.9,616.55
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,239.6,Medium,Shure PSM-1000 G10 - ',Shure UHF-R K4E - NAME GOES HERE,490.9,616.55
Parking Lot   East and West Stage,Zone 6,Cross-Zone,3f2-2f1,50.16,239.72,Medium,Generic - 662-698,Lectro Standard Block 21 - Donovan McNiven #2,695.69,543.7
Zone 1,Zone 1,Intra-Zone,3f1-2f2,0.0,239.755,Medium,Senn EM3732 A - ACR4 RF 9,Lectro Standard Block 25 - Master IFM 4,517.985,657.1
Zone 1,Zone 1,Intra-Zone,3f2-2f1,0.0,239.755,Medium,Senn EM3732 A - ACR4 RF 9,Lectro Standard Block 25 - Master IFM 4,517.985,657.1
Parking Lot   East and West Stage,Zone 6,Cross-Zone,3f2-2f1,50.16,239.87,Medium,Generic - 662-698,Lectro Standard Block 21 - Donovan McNiven #1,694.715,543.1
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,240.03,Medium,Shure ULXD4 J50 - ',Senn EM3732 A - ACR2 RF 25,619.95,493.31
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,240.125,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - ',521.625,662.375
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,240.125,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - ',521.625,662.375
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,240.195,Medium,Shure UHF-R H4 - NAME GOES HERE,Generic - 662-698,522.375,663.465
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,240.195,Medium,Shure UHF-R H4 - NAME GOES HERE,Generic - 662-698,522.375,663.465
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,240.255,Medium,Sennheiser EM3732-II L - NAME GOES HERE,Senn EM3732 A - ACR4 RF 6,615.675,490.535
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,240.275,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - NAME GOES HERE,523.425,665.0
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,240.275,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - NAME GOES HERE,523.425,665.0
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,240.29,Medium,Shure UHF-R K4E - NAME GOES HERE,Senn EM3732 A - ACR4 RF 5,615.125,490.18
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,240.6,Medium,Shure PSM-1000 G10 - ',Shure ULXD4 J50 - ',490.9,616.05
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,240.6,Medium,Shure PSM-1000 G10 - ',Shure ULXD4 J50 - ',490.9,616.05
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f1-2f2,12.04,240.6,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectro Standard Block 23 - CP24 Mic 7,473.2,589.5
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,240.62,Medium,Lectrosonics 100 KHz Block 21 - '4/0,Generic - 662-698,544.0,695.69
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,240.62,Medium,Lectrosonics 100 KHz Block 21 - '4/0,Generic - 662-698,544.0,695.69
Zone 1,Zone 2,Cross-Zone,3f1-2f2,37.34,240.645,Medium,Senn EM3732 A - ACR2 RF 21,Lectro Standard Block 23 - CP24 IFB 15,479.215,598.5
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,240.655,Medium,Senn Evol G2 B - ',Senn EM3732 A - ACR4 RF 9,656.65,517.985
Parking Lot   East and West Stage,Zone 6,Cross-Zone,3f2-2f1,50.16,240.93,Medium,Generic - 662-698,Lectro Standard Block 21 - Donovan McNiven #2,695.085,543.7
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,241.025,Medium,Sennheiser EM9046 A2 - NAME GOES HERE,Shure UHF-R K4E - NAME GOES HERE,496.075,623.6
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,241.025,Medium,Sennheiser EM9046 A2 - NAME GOES HERE,Shure UHF-R K4E - NAME GOES HERE,496.075,623.6
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f1-2f2,47.8,241.05,Medium,Sennheiser EM3732-II L - ',Lectro Standard Block 25 - Master IFM 3,513.15,649.2
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f1-2f2,47.8,241.25,Medium,Shure UHF-R H4 - ',Lectro Standard Block 25 - Master IFM 1,522.95,663.8
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,241.35,Medium,Shure UHF-R H4 - NAME GOES HERE,Shure PSM-1000 L8 - ',519.15,658.05
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,241.35,Medium,Shure PSM-1000 G10 - ',Sennheiser EM3732-II L - NAME GOES HERE,490.9,615.675
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,241.35,Medium,Shure UHF-R H4 - NAME GOES HERE,Shure PSM-1000 L8 - ',519.15,658.05
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,241.35,Medium,Shure PSM-1000 G10 - ',Sennheiser EM3732-II L - NAME GOES HERE,490.9,615.675
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,241.355,Medium,Shure UHF-R K4E - NAME GOES HERE,Senn EM3732 A - ACR4 RF 6,615.125,490.535
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,241.425,Medium,Shure UHF-R G1 - NAME GOES HERE,Shure PSM-1000 L8 - NAME GOES HERE,525.375,667.35
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,241.425,Medium,Shure UHF-R G1 - NAME GOES HERE,Shure PSM-1000 L8 - NAME GOES HERE,525.375,667.35
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,241.475,Medium,Shure UHF-R H4 - NAME GOES HERE,Shure PSM-1000 L8 - NAME GOES HERE,522.375,662.825
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,241.475,Medium,Shure UHF-R H4 - NAME GOES HERE,Shure PSM-1000 L8 - NAME GOES HERE,522.375,662.825
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,241.525,Medium,Shure UHF-R G1 - NAME GOES HERE,Shure UHF-R K4E - NAME GOES HERE,492.775,618.4
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,241.525,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - NAME GOES HERE,521.625,661.675
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,241.525,Medium,Shure UHF-R H4 - ',Shure PSM-1000 L8 - NAME GOES HERE,521.625,661.675
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,241.525,Medium,Shure UHF-R G1 - NAME GOES HERE,Shure UHF-R K4E - NAME GOES HERE,492.775,618.4
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,241.605,Medium,Senn Evol G2 B - ',Senn EM3732 A - ACR4 RF 9,656.175,517.985
Parking Lot   East and West Stage,Zone 6,Cross-Zone,3f2-2f1,50.16,241.67,Medium,Generic - 662-698,Lectro Standard Block 21 - Donovan McNiven #2,694.715,543.7
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,241.83,Medium,Lectrosonics 100 KHz Block 21 - '4/0,Generic - 662-698,544.0,695.085
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,241.83,Medium,Lectrosonics 100 KHz Block 21 - '4/0,Generic - 662-698,544.0,695.085
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,241.92,Medium,Shure UHF-R H4 - ',Generic - 662-698,522.95,663.465
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,241.92,Medium,Shure UHF-R H4 - ',Generic - 662-698,522.95,663.465
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f2-2f1,12.04,242.1,Medium,Lectro Standard Block 27 - CP24 IFB 18  Patio,Lectro Standard Block 21 - CP24 Mic 1,692.1,542.1
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,242.15,Medium,Shure UHF-R G1 - NAME GOES HERE,Shure PSM-1000 L8 - ',524.7,665.975
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,242.15,Medium,Shure UHF-R G1 - NAME GOES HERE,Shure PSM-1000 L8 - ',524.7,665.975
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,242.35,Medium,Shure UHF-R H4 - NAME GOES HERE,Senn Evol G2 B - ',519.15,657.55
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,242.35,Medium,Shure UHF-R H4 - NAME GOES HERE,Senn Evol G2 B - ',519.15,657.55
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,242.375,Medium,Shure UHF-R H4 - NAME GOES HERE,Shure PSM-1000 L8 - ',522.375,662.375
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,242.375,Medium,Shure UHF-R H4 - NAME GOES HERE,Shure PSM-1000 L8 - ',522.375,662.375
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,242.45,Medium,Shure PSM-1000 G10 - ',Shure UHF-R K4E - NAME GOES HERE,490.9,615.125
