Frequency_MHz,Power_dBm
50.000,-87.695
50.108,-88.968
50.217,-88.066
50.325,-88.497
50.434,-88.643
50.542,-88.513
50.651,-84.152
50.759,-86.987
50.868,-87.526
50.976,-88.453
51.085,-87.717
51.193,-88.109
51.302,-86.115
51.410,-86.865
51.519,-88.411
51.627,-89.667
51.736,-87.310
51.844,-87.864
51.953,-89.032
52.061,-89.350
52.170,-84.093
52.278,-84.155
52.387,-90.302
52.495,-89.619
52.603,-88.999
52.712,-84.408
52.820,-84.314
52.929,-88.826
53.037,-89.449
53.146,-86.882
53.254,-87.517
53.363,-88.488
53.471,-88.025
53.580,-89.353
53.688,-86.937
53.797,-76.422
53.905,-87.319
54.014,-90.199
54.122,-88.871
54.231,-87.104
54.339,-88.841
54.448,-90.645
54.556,-89.259
54.665,-91.880
54.773,-92.450
54.882,-91.891
54.990,-92.475
55.098,-92.998
55.207,-92.366
55.315,-79.995
55.424,-87.940
55.532,-89.771
55.641,-90.848
55.749,-94.995
55.858,-93.486
55.966,-91.389
56.075,-92.744
56.183,-94.177
56.292,-93.980
56.400,-88.575
56.509,-90.676
56.617,-92.183
56.726,-90.072
56.834,-73.961
56.943,-86.125
57.051,-90.988
57.160,-92.201
57.268,-92.072
57.377,-92.472
57.485,-94.969
57.593,-94.090
57.702,-94.719
57.810,-93.321
57.919,-94.340
58.027,-93.344
58.136,-93.870
58.244,-93.706
58.353,-81.859
58.461,-92.198
58.570,-92.553
58.678,-94.153
58.787,-91.872
58.895,-94.920
59.004,-92.703
59.112,-94.485
59.221,-92.603
59.329,-92.626
59.438,-92.095
59.546,-91.982
59.655,-92.567
59.763,-91.578
59.872,-79.907
59.980,-88.545
60.088,-90.318
60.197,-89.374
60.305,-92.149
60.414,-91.210
60.522,-89.246
60.631,-89.161
60.739,-87.838
60.848,-87.844
60.956,-89.303
61.065,-87.448
61.173,-87.177
61.282,-88.035
61.390,-82.999
61.499,-86.924
61.607,-87.277
61.716,-85.616
61.824,-85.318
61.933,-87.118
62.041,-86.855
62.150,-86.367
62.258,-86.230
62.367,-86.808
62.475,-87.251
62.583,-87.331
62.692,-86.415
62.800,-87.782
62.909,-88.984
63.017,-79.664
63.126,-88.287
63.234,-89.048
63.343,-90.010
63.451,-91.535
63.560,-92.327
63.668,-92.164
63.777,-92.524
63.885,-94.916
63.994,-96.949
64.102,-97.678
64.211,-95.391
64.319,-93.529
64.428,-95.072
64.536,-86.010
64.645,-93.783
64.753,-93.477
64.862,-93.913
64.970,-91.984
65.078,-90.003
65.187,-92.086
65.295,-90.320
65.404,-91.098
65.512,-90.515
65.621,-89.522
65.729,-89.012
65.838,-89.990
65.946,-89.166
66.055,-79.373
66.163,-88.906
66.272,-89.086
66.380,-88.887
66.489,-88.940
66.597,-89.403
66.706,-88.684
66.814,-88.742
66.923,-89.527
67.031,-91.705
67.140,-89.866
67.248,-90.116
67.357,-88.863
67.465,-89.969
67.573,-88.459
67.682,-90.909
67.790,-88.492
67.899,-89.208
68.007,-89.079
68.116,-89.362
68.224,-89.890
68.333,-88.710
68.441,-87.599
68.550,-88.149
68.658,-86.132
68.767,-87.294
68.875,-87.318
68.984,-86.070
69.092,-85.076
69.201,-87.862
69.309,-87.767
69.418,-86.630
69.526,-86.457
69.635,-86.965
69.743,-86.045
69.852,-86.532
69.960,-88.040
70.068,-87.927
70.177,-89.012
70.285,-89.647
70.394,-89.442
70.502,-90.004
70.611,-86.705
70.719,-89.512
70.828,-88.588
70.936,-89.376
71.045,-86.916
71.153,-89.305
71.262,-88.051
71.370,-88.131
71.479,-88.899
71.587,-86.409
71.696,-87.953
71.804,-87.366
71.913,-88.660
72.021,-82.872
72.130,-84.762
72.238,-79.822
72.347,-89.338
72.455,-87.052
72.563,-88.359
72.672,-87.067
72.780,-85.454
72.889,-83.847
72.997,-85.474
73.106,-86.020
73.214,-87.107
73.323,-89.627
73.431,-89.888
73.540,-88.857
73.648,-88.470
73.757,-82.377
73.865,-87.334
73.974,-88.444
74.082,-88.821
74.191,-61.875
74.299,-61.952
74.408,-81.208
74.516,-89.498
74.625,-88.481
74.733,-89.761
74.842,-89.023
74.950,-89.206
75.058,-87.631
75.167,-86.423
75.275,-75.933
75.384,-88.622
75.492,-85.332
75.601,-86.323
75.709,-80.007
75.818,-78.951
75.926,-80.046
76.035,-85.313
76.143,-85.835
76.252,-85.066
76.360,-86.585
76.469,-85.635
76.577,-84.084
76.686,-85.544
76.794,-80.696
76.903,-83.886
77.011,-84.014
77.120,-83.334
77.228,-82.136
77.337,-83.939
77.445,-83.262
77.553,-82.986
77.662,-86.549
77.770,-86.840
77.879,-87.546
77.987,-87.428
78.096,-86.189
78.204,-87.422
78.313,-77.552
78.421,-85.842
78.530,-81.545
78.638,-81.333
