Frequency_MHz,Power_dBm
400.000,-72.961
400.217,-73.031
400.435,-66.846
400.652,-85.812
400.870,-83.493
401.087,-84.945
401.304,-82.140
401.522,-77.177
401.739,-85.128
401.957,-82.551
402.174,-85.212
402.391,-81.593
402.609,-84.777
402.826,-82.001
403.043,-84.806
403.261,-84.757
403.478,-87.417
403.696,-85.768
403.913,-81.218
404.130,-83.058
404.348,-82.227
404.565,-87.321
404.783,-84.610
405.000,-88.092
405.217,-88.628
405.435,-86.733
405.652,-77.099
405.870,-88.533
406.087,-87.326
406.304,-86.522
406.522,-89.304
406.739,-85.848
406.957,-82.052
407.174,-84.047
407.391,-89.117
407.609,-85.717
407.826,-87.457
408.043,-85.222
408.261,-83.204
408.478,-86.267
408.696,-83.842
408.913,-85.861
409.130,-85.256
409.348,-84.865
409.565,-86.124
409.783,-89.725
410.000,-86.982
410.217,-87.985
410.435,-79.811
410.652,-77.562
410.870,-83.179
411.087,-88.035
411.304,-79.293
411.522,-86.043
411.739,-83.796
411.957,-90.060
412.174,-89.344
412.391,-86.122
412.609,-88.387
412.826,-84.195
413.043,-87.247
413.261,-87.054
413.478,-87.237
413.696,-88.046
413.913,-89.449
414.130,-86.890
414.348,-88.459
414.565,-89.408
414.783,-91.088
415.000,-88.789
415.217,-91.766
415.435,-89.321
415.652,-75.991
415.870,-67.479
416.087,-90.136
416.304,-89.252
416.522,-90.037
416.739,-92.221
416.957,-84.457
417.174,-90.234
417.391,-84.852
417.609,-89.948
417.826,-87.993
418.043,-89.474
418.261,-88.957
418.478,-89.797
418.696,-91.656
418.913,-90.974
419.130,-91.514
419.348,-91.564
419.565,-92.173
419.783,-87.621
420.000,-93.206
420.217,-90.952
420.435,-92.428
420.652,-89.867
420.870,-92.380
421.087,-90.440
421.304,-78.746
421.522,-87.062
421.739,-93.377
421.957,-90.035
422.174,-89.003
422.391,-92.252
422.609,-83.348
422.826,-92.010
423.043,-83.417
423.261,-90.842
423.478,-88.370
423.696,-94.410
423.913,-94.112
424.130,-88.740
424.348,-94.463
424.565,-93.910
424.783,-93.313
425.000,-95.474
425.217,-93.422
425.435,-87.923
425.652,-89.494
425.870,-87.323
426.087,-88.382
426.304,-91.584
426.522,-89.950
426.739,-92.396
426.957,-86.930
427.174,-92.145
427.391,-90.924
427.609,-91.519
427.826,-91.890
428.043,-91.145
428.261,-89.403
428.478,-88.928
428.696,-78.626
428.913,-86.805
429.130,-90.803
429.348,-92.456
429.565,-93.165
429.783,-91.036
430.000,-89.033
430.217,-89.743
430.435,-93.353
430.652,-91.229
430.870,-90.251
431.087,-81.378
431.304,-85.886
431.522,-87.973
431.739,-90.653
431.957,-91.192
432.174,-90.996
432.391,-91.577
432.609,-92.192
432.826,-87.171
433.043,-94.051
433.261,-92.503
433.478,-94.052
433.696,-93.688
433.913,-90.317
434.130,-94.453
434.348,-79.173
434.565,-89.695
434.783,-92.273
435.000,-93.983
435.217,-91.433
435.435,-93.489
435.652,-90.001
435.870,-95.476
436.087,-90.365
436.304,-91.523
436.522,-95.963
436.739,-86.793
436.957,-90.528
437.174,-84.004
437.391,-92.066
437.609,-95.385
437.826,-90.234
438.043,-92.642
438.261,-93.885
438.478,-91.202
438.696,-94.224
438.913,-93.047
439.130,-93.986
439.348,-92.620
439.565,-93.590
439.783,-92.527
440.000,-76.622
440.217,-89.263
440.435,-91.201
440.652,-85.701
440.870,-91.178
441.087,-90.845
441.304,-90.969
441.522,-86.786
441.739,-90.264
441.957,-91.453
442.174,-90.570
442.391,-87.357
442.609,-89.295
442.826,-88.412
443.043,-91.219
443.261,-88.980
443.478,-87.365
443.696,-88.088
443.913,-86.985
444.130,-83.555
444.348,-84.755
444.565,-85.393
444.783,-87.196
445.000,-82.841
445.217,-82.802
445.435,-57.870
445.652,-69.341
445.870,-81.150
446.087,-82.754
446.304,-84.314
446.522,-85.703
446.739,-86.411
446.957,-89.177
447.174,-88.329
447.391,-86.273
447.609,-88.496
447.826,-87.824
448.043,-86.010
448.261,-88.363
448.478,-84.225
448.696,-90.398
448.913,-87.622
449.130,-88.672
449.348,-87.134
449.565,-87.407
449.783,-90.375
450.000,-86.876
450.217,-88.828
450.435,-93.240
450.652,-90.786
450.870,-89.992
451.087,-88.106
451.304,-83.401
451.522,-92.273
451.739,-91.280
451.957,-95.130
452.174,-91.797
452.391,-92.145
452.609,-91.028
452.826,-89.708
453.043,-91.674
453.261,-88.855
453.478,-87.264
453.696,-90.382
453.913,-89.291
454.130,-88.326
454.348,-88.265
454.565,-89.193
454.783,-89.175
455.000,-92.386
455.217,-92.710
455.435,-88.949
455.652,-89.282
455.870,-90.508
456.087,-90.564
456.304,-92.774
456.522,-89.193
456.739,-92.067
456.957,-86.429
457.174,-93.135
457.391,-88.905
457.609,-91.623
457.826,-92.672
458.043,-95.175
458.261,-87.765
458.478,-91.394
458.696,-93.456
458.913,-89.561
459.130,-94.473
459.348,-92.112
459.565,-93.960
459.783,-89.407
460.000,-89.440
460.217,-85.110
460.435,-90.039
460.652,-92.459
460.870,-94.748
461.087,-92.391
461.304,-91.677
461.522,-84.041
461.739,-86.077
461.957,-79.334
462.174,-87.542
462.391,-85.910
462.609,-89.039
462.826,-93.678
463.043,-90.563
463.261,-92.742
463.478,-95.027
463.696,-94.770
463.913,-92.278
464.130,-92.053
464.348,-93.079
464.565,-93.739
464.783,-94.773
465.000,-94.164
465.217,-94.683
465.435,-93.032
465.652,-92.391
465.870,-91.731
466.087,-93.485
466.304,-95.052
466.522,-93.160
466.739,-93.981
466.957,-85.653
467.174,-93.944
467.391,-89.612
467.609,-96.307
467.826,-91.312
468.043,-95.139
468.261,-95.071
468.478,-91.317
468.696,-93.773
468.913,-96.703
469.130,-96.148
469.348,-92.625
469.565,-95.451
469.783,-96.719
470.000,-94.457
470.217,-93.432
470.435,-96.546
