Frequency (Hz),Average,Median,Range,Std Dev,Variance,PSD (dBm/Hz)
,-77.376,-77.376,3.981,2.815,7.924,-117.376
,-82.055,-82.055,13.340,9.433,88.978,-122.055
56.509,,,,,,
,-82.950,-82.950,15.129,10.698,114.443,-122.950
,-83.532,-83.532,16.295,11.522,132.764,-123.532
,-83.752,-83.752,16.735,11.833,140.030,-123.752
,-82.555,-82.555,14.340,10.140,102.818,-122.555
,-82.522,-82.522,14.274,10.093,101.874,-122.522
,-81.631,-81.631,12.492,8.833,78.025,-121.631
,-82.350,-82.350,13.930,9.850,97.022,-122.350
,-81.934,-81.934,13.099,9.262,85.792,-121.935
,-81.768,-81.768,12.765,9.026,81.473,-121.768
56.617,,,,,,
,-82.085,-82.085,13.401,9.476,89.793,-122.085
,-81.924,-81.924,13.079,9.248,85.530,-121.924
,-81.793,-81.793,12.817,9.063,82.138,-121.793
,-77.959,-77.959,5.147,3.639,13.246,-117.959
,-79.372,-79.372,7.974,5.638,31.792,-119.372
,-81.202,-81.202,11.633,8.226,67.663,-121.202
,-81.091,-81.091,11.412,8.070,65.117,-121.091
,-81.183,-81.183,11.595,8.199,67.222,-121.183
,-80.990,-80.990,11.211,7.927,62.843,-120.990
56.726,,,,,,
,-80.912,-80.912,11.053,7.816,61.084,-120.912
,-80.870,-80.870,10.971,7.758,60.181,-120.870
,-81.234,-81.234,11.698,8.272,68.422,-121.234
,-80.538,-80.538,10.307,7.288,53.117,-120.538
,-81.161,-81.161,11.551,8.168,66.713,-121.161
,-80.946,-80.946,11.122,7.864,61.849,-120.946
,-81.010,-81.010,11.250,7.955,63.281,-121.010
,-82.103,-82.103,13.437,9.501,90.276,-122.103
,-81.475,-81.475,12.180,8.613,74.176,-121.475
56.834,,,,,,
,-77.553,-77.553,4.337,3.067,9.405,-117.553
,-82.250,-82.250,13.729,9.708,94.243,-122.250
,-82.520,-82.520,14.271,10.091,101.831,-122.520
,-83.483,-83.483,16.197,11.453,131.171,-123.483
,-83.829,-83.829,16.887,11.941,142.585,-123.828
,-83.887,-83.887,17.003,12.023,144.551,-123.887
,-84.860,-84.860,18.950,13.400,179.551,-124.860
,-84.822,-84.822,18.873,13.345,178.095,-124.821
,-84.602,-84.602,18.434,13.035,169.906,-124.602
,-85.883,-85.883,20.997,14.847,220.437,-125.883
56.943,,,,,,
,-85.507,-85.507,20.243,14.314,204.890,-125.506
,-86.349,-86.349,21.928,15.505,240.419,-126.349
,-85.834,-85.834,20.897,14.776,218.342,-125.833
,-85.082,-85.082,19.393,13.713,188.044,-125.082
,-80.784,-80.784,10.797,7.635,58.288,-120.784
,-84.373,-84.373,17.975,12.710,161.550,-124.373
,-84.653,-84.653,18.535,13.106,171.773,-124.653
,-84.549,-84.549,18.329,12.961,167.976,-124.549
,-83.976,-83.976,17.181,12.149,147.593,-123.976
57.051,,,,,,
,-83.730,-83.730,16.690,11.802,139.278,-123.730
,-83.956,-83.956,17.142,12.121,146.924,-123.956
,-83.258,-83.258,15.746,11.134,123.968,-123.258
,-82.772,-82.772,14.774,10.447,109.136,-122.772
,-83.091,-83.091,15.411,10.897,118.749,-123.091
,-82.964,-82.964,15.157,10.718,114.867,-122.964
,-82.858,-82.858,14.945,10.568,111.677,-122.857
,-83.215,-83.215,15.659,11.073,122.602,-123.215
,-81.935,-81.935,13.100,9.263,85.805,-121.935
57.160,,,,,,
,-77.644,-77.644,4.517,3.194,10.202,-117.644
,-82.742,-82.742,14.713,10.404,108.236,-122.742
,-82.847,-82.847,14.925,10.554,111.378,-122.847
,-83.007,-83.007,15.244,10.779,116.190,-123.007
,-83.198,-83.198,15.625,11.049,122.070,-123.198
,-82.920,-82.920,15.070,10.656,113.552,-122.920
,-83.538,-83.538,16.306,11.530,132.943,-123.538
,-83.411,-83.411,16.051,11.350,128.817,-123.411
,-83.175,-83.175,15.581,11.017,121.384,-123.175
57.268,,,,,,
,-83.510,-83.510,16.249,11.490,132.015,-123.510
,-83.893,-83.893,17.015,12.031,144.755,-123.893
,-84.172,-84.172,17.574,12.427,154.423,-124.172
,-84.231,-84.231,17.692,12.510,156.503,-124.231
,-84.232,-84.232,17.693,12.511,156.521,-124.232
,-82.678,-82.678,14.585,10.313,106.361,-122.678
,-82.581,-82.581,14.391,10.176,103.550,-122.581
,-83.318,-83.318,15.866,11.219,125.865,-123.318
,-83.595,-83.595,16.420,11.611,134.808,-123.595
57.377,,,,,,
,-82.384,-82.384,13.998,9.898,97.972,-122.384
,-82.913,-82.913,15.057,10.647,113.357,-122.913
,-83.657,-83.657,16.545,11.699,136.869,-123.657
,-83.251,-83.251,15.731,11.123,123.732,-123.250
,-80.109,-80.109,9.448,6.681,44.632,-120.109
,-83.174,-83.174,15.579,11.016,121.353,-123.174
,-83.208,-83.208,15.646,11.063,122.399,-123.208
,-83.189,-83.189,15.608,11.037,121.805,-123.189
,-82.345,-82.345,13.920,9.843,96.883,-122.345
,-81.652,-81.652,12.534,8.863,78.551,-121.652
57.485,,,,,,
,-81.356,-81.356,11.942,8.444,71.306,-121.356
,-82.148,-82.148,13.525,9.564,91.463,-122.148
,-81.819,-81.819,12.867,9.098,82.780,-121.819
,-81.483,-81.483,12.195,8.623,74.359,-121.482
,-82.065,-82.065,13.360,9.447,89.245,-122.065
,-81.965,-81.965,13.160,9.306,86.593,-121.965
,-81.928,-81.928,13.087,9.254,85.635,-121.928
,-81.953,-81.953,13.136,9.289,86.277,-121.953
,-81.835,-81.835,12.900,9.122,83.205,-121.835
57.593,,,,,,
,-82.309,-82.309,13.848,9.792,95.884,-122.309
,-82.490,-82.490,14.210,10.048,100.962,-122.490
