50.000,
50.108,
50.217,
50.325,
50.434,
50.542,
50.651,
50.759,
50.868,
50.976,
51.085,
51.193,
51.302,
51.410,
51.519,
51.627,
51.736,
51.844,
51.953,
52.061,
52.170,
52.278,
52.387,
52.495,
52.603,
52.712,
52.820,
52.929,
53.037,
53.146,
53.254,
53.363,
53.471,
53.580,
53.688,
53.797,
53.905,
54.014,
54.122,
54.231,
54.339,
54.448,
54.556,
54.665,
54.773,
54.882,
54.990,
55.098,
55.207,
55.315,
55.424,-123.105
,-122.583
,-122.440
,-121.715
,-123.088
,-122.594
,-120.329
,-122.334
,-122.364
,-122.465
55.532,
,-122.645
,-123.006
,-120.404
,-121.584
,-121.853
,-122.175
,-121.332
,-122.000
,-122.046
55.641,
,-122.249
,-119.453
,-119.349
,-122.114
,-122.687
,-121.438
,-120.187
,-119.131
,-121.305
55.749,
,-121.881
,-120.999
,-120.355
,-121.886
,-121.835
,-122.542
,-121.698
,-116.012
,-121.586
55.858,
,-122.266
,-120.866
,-122.931
,-122.807
,-122.167
,-122.724
,-123.447
,-122.434
,-123.185
,-123.307
55.966,
,-123.766
,-124.213
,-117.825
,-121.893
,-122.109
,-124.013
,-124.426
,-125.079
,-123.799
56.075,
,-123.657
,-124.400
,-124.227
,-122.369
,-122.333
,-123.453
,-122.766
,-114.335
,-120.409
56.183,
,-122.113
,-122.845
,-123.704
,-123.805
,-125.082
,-124.852
,-124.637
,-124.585
,-124.781
56.292,
,-124.377
,-124.083
,-123.541
,-118.571
,-124.028
,-124.823
,-125.226
,-124.070
,-124.662
56.400,
,-123.340
,-123.253
,-125.313
,-122.757
,-119.274
,-123.833
,-123.825
,-123.333
,-117.376
,-122.055
56.509,
,-122.950
,-123.532
,-123.752
,-122.555
,-122.522
,-121.631
,-122.350
,-121.935
,-121.768
56.617,
,-122.085
,-121.924
,-121.793
,-117.959
,-119.372
,-121.202
,-121.091
,-121.183
,-120.990
56.726,
,-120.912
,-120.870
,-121.234
,-120.538
,-121.161
,-120.946
,-121.010
,-122.103
,-121.475
56.834,
,-117.553
,-122.250
,-122.520
,-123.483
,-123.828
,-123.887
,-124.860
,-124.821
,-124.602
,-125.883
56.943,
,-125.506
,-126.349
,-125.833
,-125.082
,-120.784
,-124.373
,-124.653
,-124.549
,-123.976
57.051,
,-123.730
,-123.956
,-123.258
,-122.772
,-123.091
,-122.964
,-122.857
,-123.215
,-121.935
57.160,
,-117.644
,-122.742
,-122.847
,-123.007
,-123.198
,-122.920
,-123.538
,-123.411
,-123.175
57.268,
,-123.510
,-123.893
,-124.172
,-124.231
,-124.232
,-122.678
,-122.581
,-123.318
,-123.595
57.377,
,-122.384
,-122.913
,-123.657
,-123.250
,-120.109
,-123.174
,-123.208
,-123.189
,-122.345
,-121.652
57.485,
,-121.356
,-122.148
,-121.819
,-121.482
,-122.065
,-121.965
,-121.928
,-121.953
,-121.835
57.593,
,-122.309
,-122.490
,-121.445
,-121.950
,-121.375
,-121.761
,-121.650
,-122.524
,-122.274
57.702,
,-122.958
,-122.583
,-122.466
,-123.268
,-122.668
,-122.717
,-123.035
,-122.062
,-122.769
57.810,
,-119.630
,-120.193
,-117.864
,-121.982
,-123.105
,-122.956
,-122.820
,-121.226
,-119.644
,-119.893
57.919,
,-122.710
,-122.544
,-122.788
,-122.632
,-122.758
,-122.751
,-120.349
,-123.530
,-123.310
58.027,
,-123.077
,-108.268
,-108.303
,-119.598
,-121.661
,-122.101
,-122.890
,-122.738
,-123.370
58.136,
,-122.289
,-121.347
,-115.547
,-122.381
,-120.477
,-120.945
,-118.287
,-117.493
,-118.500
58.244,
,-119.726
,-120.763
,-120.797
,-120.146
,-120.125
,-120.516
,-119.312
,-118.057
,-119.483
58.353,
,-120.194
,-119.701
,-119.163
,-118.957
,-120.119
,-120.512
,-121.015
,-121.178
,-121.573
,-120.869
58.461,
,-121.118
,-121.705
,-116.963
,-120.505
,-119.155
,-119.168
,-121.599
,-121.761
,-122.792
58.570,
,-121.930
,-123.165
,-122.736
,-122.880
,-124.448
,-123.819
,-124.137
,-120.103
,-122.370
58.678,
,-120.482
,-124.603
,-124.779
,-124.669
,-123.855
,-124.643
,-125.448
,-124.511
,-125.067
58.787,
,-125.575
,-124.888
,-124.114
,-121.221
,-119.661
,-123.129
,-124.530
,-122.918
,-124.113
58.895,
,-123.268
,-123.513
,-123.370
,-123.365
,-123.559
,-124.094
,-123.884
,-122.752
,-119.736
,-120.850
59.004,
,-122.573
,-123.254
,-123.420
,-124.442
,-124.700
,-124.618
,-124.265
,-123.972
,-118.107
59.112,
,-121.034
,-124.857
,-124.235
,-124.587
,-120.616
,-123.599
,-124.206
,-123.888
,-123.987
59.221,
,-124.436
,-124.291
,-124.790
,-123.267
,-119.004
,-118.276
,-116.786
,-123.589
,-122.890
59.329,
,-121.725
,-121.925
,-123.686
,-124.144
,-123.440
,-124.081
,-123.700
,-122.686
,-123.670
,-123.637
59.438,
,-121.886
,-123.067
,-123.393
,-122.988
,-120.257
,-123.444
,-121.500
,-123.511
,-122.162
59.546,
,-122.365
,-124.323
,-124.276
,-123.803
,-122.552
,-124.520
,-125.597
,-124.435
,-124.163
59.655,
,-120.945
,-123.573
,-125.779
,-125.296
,-124.873
,-124.706
,-124.904
,-124.881
,-125.308
59.763,
,-125.091
,-126.329
,-124.754
,-125.285
,-126.225
,-124.393
,-124.782
,-125.443
,-125.829
59.872,
,-121.816
,-121.200
,-125.493
,-120.403
,-126.691
,-125.696
,-124.882
,-123.208
,-124.704
,-126.144
59.980,
,-124.893
,-120.842
,-125.755
,-125.711
,-124.639
,-125.061
,-123.821
,-124.649
,-126.001
60.088,
,-125.613
,-125.880
,-125.095
,-126.071
,-126.661
,-126.047
,-123.972
,-125.868
,-126.049
60.197,
,-123.460
,-122.832
,-126.254
,-125.155
,-125.360
