Frequency (MHz),Level (dBm),Band Name,Peak Indicator
51.44,-107.47,Low VHF+FM,
51.45,-107.26,Low VHF+FM,
51.46,-110.49,Low VHF+FM,
51.47,-108.12,Low VHF+FM,
51.48,-107.31,Low VHF+FM,
51.49,-105.81,Low VHF+FM,
51.50,-106.90,Low VHF+FM,
51.50,-111.54,Low VHF+FM,
51.51,-105.74,Low VHF+FM,
51.52,-111.28,Low VHF+FM,
51.53,-109.75,Low VHF+FM,
51.54,-114.13,Low VHF+FM,
51.55,-108.99,Low VHF+FM,
51.56,-112.71,Low VHF+FM,
51.57,-113.31,Low VHF+FM,
51.57,-108.02,Low VHF+FM,
51.58,-111.24,Low VHF+FM,
51.59,-110.96,Low VHF+FM,
51.60,-107.11,Low VHF+FM,
51.61,-113.49,Low VHF+FM,
51.62,-113.21,Low VHF+FM,
51.63,-111.41,Low VHF+FM,
51.63,-109.75,Low VHF+FM,
51.64,-106.68,Low VHF+FM,
51.65,-107.62,Low VHF+FM,
51.66,-110.06,Low VHF+FM,
51.67,-109.06,Low VHF+FM,
51.68,-108.87,Low VHF+FM,
51.69,-110.98,Low VHF+FM,
51.70,-109.19,Low VHF+FM,
51.70,-113.14,Low VHF+FM,
51.71,-111.48,Low VHF+FM,
51.72,-108.98,Low VHF+FM,
51.73,-109.13,Low VHF+FM,
51.74,-107.20,Low VHF+FM,
51.75,-118.86,Low VHF+FM,
51.76,-107.03,Low VHF+FM,
51.77,-108.48,Low VHF+FM,
51.77,-107.73,Low VHF+FM,
51.78,-109.89,Low VHF+FM,
51.79,-108.17,Low VHF+FM,
51.80,-106.94,Low VHF+FM,
51.81,-109.23,Low VHF+FM,
51.82,-113.34,Low VHF+FM,
51.83,-106.70,Low VHF+FM,
51.83,-109.83,Low VHF+FM,
51.84,-107.13,Low VHF+FM,
51.85,-106.98,Low VHF+FM,
51.86,-110.25,Low VHF+FM,
51.87,-116.18,Low VHF+FM,
51.88,-105.56,Low VHF+FM,
51.89,-108.73,Low VHF+FM,
51.90,-110.85,Low VHF+FM,
51.90,-106.08,Low VHF+FM,
51.91,-110.83,Low VHF+FM,
51.92,-108.37,Low VHF+FM,
51.93,-108.15,Low VHF+FM,
51.94,-106.53,Low VHF+FM,
51.95,-110.81,Low VHF+FM,
51.96,-113.51,Low VHF+FM,
51.97,-113.28,Low VHF+FM,
51.97,-108.47,Low VHF+FM,
51.98,-114.05,Low VHF+FM,
51.99,-112.36,Low VHF+FM,
52.00,-109.00,Low VHF+FM,
52.01,-104.41,Low VHF+FM,
52.02,-109.51,Low VHF+FM,
52.03,-112.60,Low VHF+FM,
52.03,-106.44,Low VHF+FM,
52.04,-109.60,Low VHF+FM,
52.05,-110.46,Low VHF+FM,
52.06,-112.51,Low VHF+FM,
52.07,-108.73,Low VHF+FM,
52.08,-106.81,Low VHF+FM,
52.09,-107.01,Low VHF+FM,
52.10,-110.71,Low VHF+FM,
52.10,-105.90,Low VHF+FM,
52.11,-112.16,Low VHF+FM,
52.12,-111.64,Low VHF+FM,
52.13,-108.47,Low VHF+FM,
52.14,-116.21,Low VHF+FM,
52.15,-105.40,Low VHF+FM,
52.16,-109.37,Low VHF+FM,
52.17,-108.53,Low VHF+FM,
52.17,-114.17,Low VHF+FM,
52.18,-109.01,Low VHF+FM,
52.19,-111.01,Low VHF+FM,
52.20,-106.37,Low VHF+FM,
52.21,-109.38,Low VHF+FM,
52.22,-106.11,Low VHF+FM,
52.23,-105.95,Low VHF+FM,
52.23,-113.96,Low VHF+FM,
52.24,-108.62,Low VHF+FM,
52.25,-106.77,Low VHF+FM,
52.26,-108.13,Low VHF+FM,
52.27,-107.53,Low VHF+FM,
52.28,-105.00,Low VHF+FM,
52.29,-108.55,Low VHF+FM,
52.30,-115.15,Low VHF+FM,
52.30,-110.36,Low VHF+FM,
52.31,-105.68,Low VHF+FM,
52.32,-109.45,Low VHF+FM,
52.33,-109.94,Low VHF+FM,
52.34,-107.42,Low VHF+FM,
52.35,-111.33,Low VHF+FM,
52.36,-109.64,Low VHF+FM,
52.37,-104.39,Low VHF+FM,
52.37,-113.47,Low VHF+FM,
52.38,-111.42,Low VHF+FM,
52.39,-108.77,Low VHF+FM,
52.40,-110.14,Low VHF+FM,
52.41,-110.02,Low VHF+FM,
52.42,-109.05,Low VHF+FM,
52.43,-106.64,Low VHF+FM,
52.43,-102.94,Low VHF+FM,
