Frequency (MHz),Level (dBm),Band Name
50.00,-95.31,Low VHF+FM
50.04,-98.33,Low VHF+FM
50.09,-101.41,Low VHF+FM
50.13,-96.92,Low VHF+FM
50.17,-99.03,Low VHF+FM
50.22,-99.94,Low VHF+FM
50.26,-96.13,Low VHF+FM
50.30,-95.91,Low VHF+FM
50.35,-105.05,Low VHF+FM
50.39,-98.56,Low VHF+FM
50.43,-96.87,Low VHF+FM
50.48,-100.35,Low VHF+FM
50.52,-100.80,Low VHF+FM
50.57,-94.21,Low VHF+FM
50.61,-99.69,Low VHF+FM
50.65,-98.70,Low VHF+FM
50.70,-99.41,Low VHF+FM
50.74,-98.46,Low VHF+FM
50.78,-97.81,Low VHF+FM
50.83,-99.26,Low VHF+FM
50.87,-103.96,Low VHF+FM
50.91,-101.97,Low VHF+FM
50.96,-97.77,Low VHF+FM
51.00,-98.91,Low VHF+FM
51.04,-101.42,Low VHF+FM
51.09,-101.35,Low VHF+FM
51.13,-104.88,Low VHF+FM
51.17,-98.50,Low VHF+FM
51.22,-101.11,Low VHF+FM
51.26,-101.44,Low VHF+FM
51.30,-101.27,Low VHF+FM
51.35,-101.21,Low VHF+FM
51.39,-97.63,Low VHF+FM
51.43,-99.45,Low VHF+FM
51.48,-95.62,Low VHF+FM
51.52,-96.51,Low VHF+FM
51.57,-93.95,Low VHF+FM
51.61,-95.20,Low VHF+FM
51.65,-96.04,Low VHF+FM
51.70,-97.96,Low VHF+FM
51.74,-103.33,Low VHF+FM
51.78,-94.39,Low VHF+FM
51.83,-100.20,Low VHF+FM
51.87,-99.62,Low VHF+FM
51.91,-106.32,Low VHF+FM
51.96,-102.88,Low VHF+FM
52.00,-103.17,Low VHF+FM
52.04,-98.02,Low VHF+FM
52.09,-102.33,Low VHF+FM
52.13,-100.37,Low VHF+FM
52.17,-101.93,Low VHF+FM
52.22,-108.78,Low VHF+FM
52.26,-101.37,Low VHF+FM
52.30,-97.54,Low VHF+FM
52.35,-99.35,Low VHF+FM
52.39,-100.38,Low VHF+FM
52.43,-98.04,Low VHF+FM
52.48,-98.03,Low VHF+FM
52.52,-96.47,Low VHF+FM
52.57,-97.65,Low VHF+FM
52.61,-98.19,Low VHF+FM
52.65,-94.87,Low VHF+FM
52.70,-103.91,Low VHF+FM
52.74,-100.37,Low VHF+FM
52.78,-97.32,Low VHF+FM
52.83,-97.97,Low VHF+FM
52.87,-99.13,Low VHF+FM
52.91,-98.11,Low VHF+FM
52.96,-98.99,Low VHF+FM
53.00,-100.90,Low VHF+FM
53.04,-101.90,Low VHF+FM
53.09,-99.93,Low VHF+FM
53.13,-97.98,Low VHF+FM
53.17,-96.97,Low VHF+FM
53.22,-99.71,Low VHF+FM
53.26,-98.71,Low VHF+FM
53.30,-105.35,Low VHF+FM
53.35,-96.41,Low VHF+FM
53.39,-105.94,Low VHF+FM
53.43,-98.85,Low VHF+FM
53.48,-98.31,Low VHF+FM
53.52,-99.57,Low VHF+FM
53.57,-104.89,Low VHF+FM
53.61,-103.89,Low VHF+FM
53.65,-102.47,Low VHF+FM
53.70,-100.81,Low VHF+FM
53.74,-98.33,Low VHF+FM
53.78,-97.06,Low VHF+FM
53.83,-102.37,Low VHF+FM
53.87,-97.90,Low VHF+FM
53.91,-106.83,Low VHF+FM
53.96,-100.20,Low VHF+FM
54.00,-99.03,Low VHF+FM
54.04,-96.32,Low VHF+FM
54.09,-98.37,Low VHF+FM
54.13,-97.21,Low VHF+FM
54.17,-100.36,Low VHF+FM
54.22,-99.38,Low VHF+FM
54.26,-95.45,Low VHF+FM
54.30,-100.52,Low VHF+FM
54.35,-101.24,Low VHF+FM
54.39,-99.75,Low VHF+FM
54.43,-97.99,Low VHF+FM
54.48,-92.82,Low VHF+FM
54.52,-100.94,Low VHF+FM
54.57,-97.68,Low VHF+FM
54.61,-93.15,Low VHF+FM
54.65,-101.82,Low VHF+FM
54.70,-101.18,Low VHF+FM
54.74,-96.99,Low VHF+FM
54.78,-106.86,Low VHF+FM
54.83,-97.79,Low VHF+FM
54.87,-103.91,Low VHF+FM
54.91,-95.17,Low VHF+FM
54.96,-99.68,Low VHF+FM
55.00,-98.12,Low VHF+FM
55.04,-98.82,Low VHF+FM
55.09,-99.83,Low VHF+FM
55.13,-101.62,Low VHF+FM
55.17,-98.84,Low VHF+FM
55.22,-105.41,Low VHF+FM
55.26,-98.50,Low VHF+FM
55.30,-101.41,Low VHF+FM
55.35,-96.78,Low VHF+FM
55.39,-101.60,Low VHF+FM
55.43,-100.72,Low VHF+FM
55.48,-99.64,Low VHF+FM
55.52,-102.21,Low VHF+FM
55.57,-99.59,Low VHF+FM
55.61,-98.70,Low VHF+FM
55.65,-94.70,Low VHF+FM
55.70,-102.66,Low VHF+FM
55.74,-100.47,Low VHF+FM
